00VD               20071108                                                                                   
0601VDA0+       20080101000000100000210000 0000000000000000   
0601VDA0+       20080101000210100000005000 0000000039900019   
0601VDA0+       20080101000215100000005000 0000000066600031   
0601VDA0+       20080101000220100000005000 0000000099000045   
0601VDA0+       20080101000225100000005000 0000000132800059   
0601VDA0+       20080101000230100000005000 0000000181700079   
0601VDA0+       20080101000235100000005000 0000000244500104   
0601VDA0+       20080101000240100000005000 0000000302500126   
0601VDA0+       20080101000245100000005000 0000000365100149   
0601VDA0+       20080101000250100000005000 0000000422600169   
0601VDA0+       20080101000255100000005000 0000000492300193   
0601VDA0+       20080101000260100000005000 0000000582600224   
0601VDA0+       20080101000265100000005000 0000000652100246   
0601VDA0+       20080101000270100000005000 0000000731900271   
0601VDA0+       20080101000275100000005000 0000000808700294   
0601VDA0+       20080101000280100000005000 0000000915900327   
0601VDA0+       20080101000285100000005000 0000001009200354   
0601VDA0+       20080101000290100000005000 0000001093600377   
0601VDA0+       20080101000295100000005000 0000001198100406   
0601VDA0+       20080101000300100000005000 0000001308400436   
0601VDA0+       20080101000305100000005000 0000001418700465   
0601VDA0+       20080101000310100000005000 0000001531800494   
0601VDA0+       20080101000315100000005000 0000001629000517   
0601VDA0+       20080101000320100000005000 0000001738100543   
0601VDA0+       20080101000325100000005000 0000001862800573   
0601VDA0+       20080101000330100000005000 0000001960700594   
0601VDA0+       20080101000335100000005000 0000002070900618   
0601VDA0+       20080101000340100000005000 0000002169800638   
0601VDA0+       20080101000345100000005000 0000002288000663   
0601VDA0+       20080101000350100000005000 0000002429600694   
0601VDA0+       20080101000355100000005000 0000002542500716   
0601VDA0+       20080101000360100000005000 0000002668300741   
0601VDA0+       20080101000365100000005000 0000002778400761   
0601VDA0+       20080101000370100000005000 0000002920000789   
0601VDA0+       20080101000375100000005000 0000003049500813   
0601VDA0+       20080101000380100000005000 0000003158600831   
0601VDA0+       20080101000385100000005000 0000003284900853   
0601VDA0+       20080101000390100000005000 0000003428900879   
0601VDA0+       20080101000395100000005000 0000003540000896   
0601VDA0+       20080101000400100000005000 0000003664900916   
0601VDA0+       20080101000405100000005000 0000003779500933   
0601VDA0+       20080101000410100000005000 0000003904100952   
0601VDA0+       20080101000415100000005000 0000004047200975   
0601VDA0+       20080101000420100000005000 0000004158900990   
0601VDA0+       20080101000425100000005000 0000004285001008   
0601VDA0+       20080101000430100000005000 0000004399901023   
0601VDA0+       20080101000435100000005000 0000004551101046   
0601VDA0+       20080101000440100000005000 0000004687001065   
0601VDA0+       20080101000445100000005000 0000004820401083   
0601VDA0+       20080101000450100000005000 0000004969101104   
0601VDA0+       20080101000455100000005000 0000005101601121   
0601VDA0+       20080101000460100000005000 0000005268101145   
0601VDA0+       20080101000465100000005000 0000005418401165   
0601VDA0+       20080101000470100000005000 0000005551801181   
0601VDA0+       20080101000475100000005000 0000005701201200   
0601VDA0+       20080101000480100000005000 0000005871601223   
0601VDA0+       20080101000485100000005000 0000006000601237   
0601VDA0+       20080101000490100000005000 0000006150701255   
0601VDA0+       20080101000495100000005000 0000006282801269   
0601VDA0+       20080101000500100000005000 0000006416201283   
0601VDA0+       20080101000505100000005000 0000006530901293   
0601VDA0+       20080101000510100000005000 0000006631301300   
0601VDA0+       20080101000515100000005000 0000006727201306   
0601VDA0+       20080101000520100000005000 0000006823701312   
0601VDA0+       20080101000525100000005000 0000006941801322   
0601VDA0+       20080101000530100000005000 0000007039701328   
0601VDA0+       20080101000535100000005000 0000007138201334   
0601VDA0+       20080101000540100000005000 0000007237301340   
0601VDA0+       20080101000545100000005000 0000007331501345   
0601VDA0+       20080101000550100000005000 0000007431801351   
0601VDA0+       20080101000555100000005000 0000007527101356   
0601VDA0+       20080101000560100000005000 0000007628501362   
0601VDA0+       20080101000565100000005000 0000007736201369   
0601VDA0+       20080101000570100000005000 0000007850201377   
0601VDA0+       20080101000575100000005000 0000007953601383   
0601VDA0+       20080101000580100000005000 0000008063301390   
0601VDA0+       20080101000585100000005000 0000008173801397   
0601VDA0+       20080101000590100000005000 0000008285001404   
0601VDA0+       20080101000595100000005000 0000008390901410   
0601VDA0+       20080101000600100000005000 0000008497401416   
0601VDA0+       20080101000605100000005000 0000008610501423   
0601VDA0+       20080101000610100000005000 0000008718301429   
0601VDA0+       20080101000615100000005000 0000008826601435   
0601VDA0+       20080101000620100000005000 0000008935601441   
0601VDA0+       20080101000625100000005000 0000009045101447   
0601VDA0+       20080101000630100000005000 0000009149001452   
0601VDA0+       20080101000635100000005000 0000009259701458   
0601VDA0+       20080101000640100000005000 0000009390201467   
0601VDA0+       20080101000645100000005000 0000009502301473   
0601VDA0+       20080101000650100000005000 0000009608401478   
0601VDA0+       20080101000655100000005000 0000009715101483   
0601VDA0+       20080101000660100000005000 0000009828801489   
0601VDA0+       20080101000665100000005000 0000009936501494   
0601VDA0+       20080101000670100000005000 0000010044701499   
0601VDA0+       20080101000675100000005000 0000010153501504   
0601VDA0+       20080101000680100000005000 0000010262701509   
0601VDA0+       20080101000685100000005000 0000010372401514   
0601VDA0+       20080101000690100000005000 0000010475701518   
0601VDA0+       20080101000695100000005000 0000010586301523   
0601VDA0+       20080101000700100000005000 0000010697501528   
0601VDA0+       20080101000705100000005000 0000010802101532   
0601VDA0+       20080101000710100000005000 0000010914201537   
0601VDA0+       20080101000715100000005000 0000011026801542   
0601VDA0+       20080101000720100000005000 0000011161501550   
0601VDA0+       20080101000725100000005000 0000011289801557   
0601VDA0+       20080101000730100000005000 0000011418701564   
0601VDA0+       20080101000735100000005000 0000011548401571   
0601VDA0+       20080101000740100000005000 0000011678701578   
0601VDA0+       20080101000745100000005000 0000011809801585   
0601VDA0+       20080101000750100000005000 0000011941501592   
0601VDA0+       20080101000755100000005000 0000012096701602   
0601VDA0+       20080101000760100000005000 0000012230001609   
0601VDA0+       20080101000765100000005000 0000012364001616   
0601VDA0+       20080101000770100000005000 0000012491001622   
0601VDA0+       20080101000775100000005000 0000012626301629   
0601VDA0+       20080101000780100000005000 0000012762401636   
0601VDA0+       20080101000785100000005000 0000012891301642   
0601VDA0+       20080101000790100000005000 0000013028701649   
0601VDA0+       20080101000795100000005000 0000013158901655   
0601VDA0+       20080101000800100000005000 0000013289601661   
0601VDA0+       20080101000805100000005000 0000013429001668   
0601VDA0+       20080101000810100000005000 0000013561001674   
0601VDA0+       20080101000815100000005000 0000013693601680   
0601VDA0+       20080101000820100000005000 0000013826801686   
0601VDA0+       20080101000825100000005000 0000013960601692   
0601VDA0+       20080101000830100000005000 0000014095001698   
0601VDA0+       20080101000835100000005000 0000014230101704   
0601VDA0+       20080101000840100000005000 0000014357301709   
0601VDA0+       20080101000845100000005000 0000014493401715   
0601VDA0+       20080101000850100000005000 0000014630201721   
0601VDA0+       20080101000855100000005000 0000014759001726   
0601VDA0+       20080101000860100000005000 0000014896901732   
0601VDA0+       20080101000865100000005000 0000015026701737   
0601VDA0+       20080101000870100000005000 0000015200601747   
0601VDA0+       20080101000875100000005000 0000015349201754   
0601VDA0+       20080101000880100000005000 0000015489701760   
0601VDA0+       20080101000885100000005000 0000015630801766   
0601VDA0+       20080101000890100000005000 0000015772501772   
0601VDA0+       20080101000895100000005000 0000015914801778   
0601VDA0+       20080101000900100000005000 0000016057701784   
0601VDA0+       20080101000905100000005000 0000016201201790   
0601VDA0+       20080101000910100000005000 0000016345301796   
