00VS               20080711                                                                                   
0601VSA0d       20080101000000100000050000 0000000000000000   
0601VSA0d       20080101000050100000010000 0000000000000000   
0601VSA0d       20080101000060100000010000 0000000000000000   
0601VSA0d       20080101000070100000010000 0000000000000000   
0601VSA0d       20080101000080100000010000 0000000000000000   
0601VSA0d       20080101000090100000010000 0000000000000000   
0601VSA0d       20080101000100100000010000 0000000000000000   
0601VSA0d       20080101000110100000010000 0000000000000000   
0601VSA0d       20080101000120100000010000 0000000000000000   
0601VSA0d       20080101000130100000010000 0000000000000000   
0601VSA0d       20080101000140100000010000 0000000000000000   
0601VSA0d       20080101000150100000010000 0000000000000000   
0601VSA0d       20080101000160100000010000 0000000000000036   
0601VSA0d       20080101000170100000010000 0000000000000056   
0601VSA0d       20080101000180100000010000 0000000000000093   
0601VSA0d       20080101000190100000010000 0000000000000125   
0601VSA0d       20080101000200100000010000 0000000000000138   
0601VSA0d       20080101000210100000010000 0000000000000189   
0601VSA0d       20080101000220100000010000 0000000000000209   
0601VSA0d       20080101000230100000010000 0000000000000258   
0601VSA0d       20080101000240100000010000 0000000000000304   
0601VSA0d       20080101000250100000010000 0000000000000329   
0601VSA0d       20080101000260100000010000 0000000000000381   
0601VSA0d       20080101000270100000010000 0000000000000407   
0601VSA0d       20080101000280100000010000 0000000000000462   
0601VSA0d       20080101000290100000010000 0000000000000485   
0601VSA0d       20080101000300100000010000 0000000000000543   
0601VSA0d       20080101000310100000010000 0000000000000599   
0601VSA0d       20080101000320100000010000 0000000000000624   
0601VSA0d       20080101000330100000010000 0000000000000681   
0601VSA0d       20080101000340100000010000 0000000000000706   
0601VSA0d       20080101000350100000010000 0000000000000762   
0601VSA0d       20080101000360100000010000 0000000000000786   
0601VSA0d       20080101000370100000010000 0000000000000806   
0601VSA0d       20080101000380100000010000 0000000000000826   
0601VSA0d       20080101000390100000010000 0000000000000850   
0601VSA0d       20080101000400100000010000 0000000000000869   
0601VSA0d       20080101000410100000010000 0000000000000892   
0601VSA0d       20080101000420100000010000 0000000000000911   
0601VSA0d       20080101000430100000010000 0000000000000936   
0601VSA0d       20080101000440100000010000 0000000000000959   
0601VSA0d       20080101000450100000010000 0000000000000985   
0601VSA0d       20080101000460100000010000 0000000000001007   
0601VSA0d       20080101000470100000010000 0000000000001029   
0601VSA0d       20080101000480100000010000 0000000000001052   
0601VSA0d       20080101000490100000010000 0000000000001071   
0601VSA0d       20080101000500100000010000 0000000000001093   
0601VSA0d       20080101000510100000010000 0000000000001112   
0601VSA0d       20080101000520100000010000 0000000000001134   
0601VSA0d       20080101000530100000010000 0000000000001153   
0601VSA0d       20080101000540100000010000 0000000000001171   
