00AI               20071204                                                                                   
0601AIA0d       20080101000000100000020000 0000000000000000   
0601AIA0d       20080101000020100000005000 0000000000000000   
0601AIA0d       20080101000025100000005000 0000000000000000   
0601AIA0d       20080101000030100000005000 0000000000000000   
0601AIA0d       20080101000035100000005000 0000000000000000   
0601AIA0d       20080101000040100000005000 0000000010000024   
0601AIA0d       20080101000045100000005000 0000000010000021   
0601AIA0d       20080101000050100000005000 0000000020000038   
0601AIA0d       20080101000055100000005000 0000000030000052   
0601AIA0d       20080101000060100000005000 0000000040000064   
0601AIA0d       20080101000065100000005000 0000000050000074   
0601AIA0d       20080101000070100000005000 0000000060000083   
0601AIA0d       20080101000075100000005000 0000000080000103   
0601AIA0d       20080101000080100000005000 0000000090000109   
0601AIA0d       20080101000085100000005000 0000000110000126   
0601AIA0d       20080101000090100000005000 0000000130000141   
0601AIA0d       20080101000095100000005000 0000000140000144   
0601AIA0d       20080101000100100000005000 0000000170000166   
0601AIA0d       20080101000105100000005000 0000000190000177   
0601AIA0d       20080101000110100000005000 0000000220000196   
0601AIA0d       20080101000115100000005000 0000000240000204   
0601AIA0d       20080101000120100000005000 0000000270000220   
0601AIA0d       20080101000125100000005000 0000000290000227   
0601AIA0d       20080101000130100000005000 0000000320000242   
0601AIA0d       20080101000135100000005000 0000000350000255   
0601AIA0d       20080101000140100000005000 0000000390000274   
0601AIA0d       20080101000145100000005000 0000000420000285   
0601AIA0d       20080101000150100000005000 0000000450000295   
0601AIA0d       20080101000155100000005000 0000000490000311   
0601AIA0d       20080101000160100000005000 0000000530000326   
0601AIA0d       20080101000165100000005000 0000000570000340   
0601AIA0d       20080101000170100000005000 0000000610000354   
0601AIA0d       20080101000175100000005000 0000000650000366   
0601AIA0d       20080101000180100000005000 0000000690000378   
0601AIA0d       20080101000185100000005000 0000000730000389   
0601AIA0d       20080101000190100000005000 0000000780000405   
0601AIA0d       20080101000195100000005000 0000000830000420   
0601AIA0d       20080101000200100000005000 0000000870000430   
0601AIA0d       20080101000205100000005000 0000000920000443   
0601AIA0d       20080101000210100000005000 0000001000000471   
0601AIA0d       20080101000215100000005000 0000001050000483   
0601AIA0d       20080101000220100000005000 0000001110000499   
0601AIA0d       20080101000225100000005000 0000001150000505   
0601AIA0d       20080101000230100000005000 0000001200000516   
0601AIA0d       20080101000235100000005000 0000001270000535   
0601AIA0d       20080101000240100000005000 0000001330000548   
0601AIA0d       20080101000245100000005000 0000001380000558   
0601AIA0d       20080101000250100000005000 0000001440000570   
0601AIA0d       20080101000255100000005000 0000001500000583   
0601AIA0d       20080101000260100000005000 0000001560000594   
0601AIA0d       20080101000265100000005000 0000001610000602   
0601AIA0d       20080101000270100000005000 0000001670000613   
