00AR               20071130                                                                                   
0601ARA0d       20080101000000100000115000 0000000030000027   
0601ARA0d       20080101000115100000005000 0000000030000026   
0601ARA0d       20080101000120100000005000 0000000030000024   
0601ARA0d       20080101000125100000005000 0000000040000031   
0601ARA0d       20080101000130100000005000 0000000060000045   
0601ARA0d       20080101000135100000005000 0000000090000065   
0601ARA0d       20080101000140100000005000 0000000100000070   
0601ARA0d       20080101000145100000005000 0000000140000095   
0601ARA0d       20080101000150100000005000 0000000180000118   
0601ARA0d       20080101000155100000005000 0000000220000140   
0601ARA0d       20080101000160100000005000 0000000270000166   
0601ARA0d       20080101000165100000005000 0000000310000185   
0601ARA0d       20080101000170100000005000 0000000350000203   
0601ARA0d       20080101000175100000005000 0000000420000237   
0601ARA0d       20080101000180100000005000 0000000470000258   
0601ARA0d       20080101000185100000005000 0000000520000277   
0601ARA0d       20080101000190100000005000 0000000580000301   
0601ARA0d       20080101000195100000005000 0000000630000319   
0601ARA0d       20080101000200100000005000 0000000680000336   
0601ARA0d       20080101000205100000005000 0000000730000352   
0601ARA0d       20080101000210100000005000 0000000810000381   
0601ARA0d       20080101000215100000005000 0000000870000400   
0601ARA0d       20080101000220100000005000 0000000930000418   
0601ARA0d       20080101000225100000005000 0000001000000440   
0601ARA0d       20080101000230100000005000 0000001060000456   
0601ARA0d       20080101000235100000005000 0000001130000476   
0601ARA0d       20080101000240100000005000 0000001190000491   
0601ARA0d       20080101000245100000005000 0000001260000509   
0601ARA0d       20080101000250100000005000 0000001320000523   
0601ARA0d       20080101000255100000005000 0000001390000540   
0601ARA0d       20080101000260100000005000 0000001450000552   
0601ARA0d       20080101000265100000005000 0000001520000568   
0601ARA0d       20080101000270100000005000 0000001590000583   
0601ARA0d       20080101000275100000005000 0000001650000595   
0601ARA0d       20080101000280100000005000 0000001720000609   
0601ARA0d       20080101000285100000005000 0000001780000619   
0601ARA0d       20080101000290100000005000 0000001860000636   
0601ARA0d       20080101000295100000005000 0000001930000649   
0601ARA0d       20080101000300100000005000 0000002000000661   
0601ARA0d       20080101000305100000005000 0000002070000673   
0601ARA0d       20080101000310100000005000 0000002140000685   
0601ARA0d       20080101000315100000005000 0000002220000699   
0601ARA0d       20080101000320100000005000 0000002290000710   
0601ARA0d       20080101000325100000005000 0000002360000721   
0601ARA0d       20080101000330100000005000 0000002430000731   
0601ARA0d       20080101000335100000005000 0000002500000741   
0601ARA0d       20080101000340100000005000 0000002580000753   
0601ARA0d       20080101000345100000005000 0000002650000763   
0601ARA0d       20080101000350100000005000 0000002720000772   
0601ARA0d       20080101000355100000005000 0000002790000780   
0601ARA0d       20080101000360100000005000 0000002870000792   
0601ARA0d       20080101000365100000005000 0000002940000800   
0601ARA0d       20080101000370100000005000 0000003010000808   
0601ARA0d       20080101000375100000005000 0000003080000816   
0601ARA0d       20080101000380100000005000 0000003160000826   
0601ARA0d       20080101000385100000005000 0000003230000834   
0601ARA0d       20080101000390100000005000 0000003300000841   
0601ARA0d       20080101000395100000005000 0000003380000850   
0601ARA0d       20080101000400100000005000 0000003450000857   
0601ARA0d       20080101000405100000005000 0000003550000871   
0601ARA0d       20080101000410100000005000 0000003630000880   
0601ARA0d       20080101000415100000005000 0000003710000889   
0601ARA0d       20080101000420100000005000 0000003780000895   
0601ARA0d       20080101000425100000005000 0000003860000903   
0601ARA0d       20080101000430100000005000 0000003950000913   
0601ARA0d       20080101000435100000005000 0000004030000921   
0601ARA0d       20080101000440100000005000 0000004120000931   
0601ARA0d       20080101000445100000005000 0000004210000941   
0601ARA0d       20080101000450100000005000 0000004290000948   
0601ARA0d       20080101000455100000005000 0000004380000957   
0601ARA0d       20080101000460100000005000 0000004460000964   
0601ARA0d       20080101000465100000005000 0000004550000973   
0601ARA0d       20080101000470100000005000 0000004630000980   
0601ARA0d       20080101000475100000005000 0000004720000988   
0601ARA0d       20080101000480100000005000 0000004810000997   
0601ARA0d       20080101000485100000005000 0000004900001005   
0601ARA0d       20080101000490100000005000 0000004980001011   
0601ARA0d       20080101000495100000005000 0000005070001019   
0601ARA0d       20080101000500100000005000 0000005150001025   
0601ARA0d       20080101000505100000005000 0000005240001033   
0601ARA0d       20080101000510100000005000 0000005330001040   
0601ARA0d       20080101000515100000005000 0000005410001045   
0601ARA0d       20080101000520100000005000 0000005500001053   
0601ARA0d       20080101000525100000005000 0000005600001062   
0601ARA0d       20080101000530100000005000 0000005690001069   
0601ARA0d       20080101000535100000005000 0000005770001073   
0601ARA0d       20080101000540100000005000 0000005860001080   
0601ARA0d       20080101000545100000005000 0000005940001085   
0601ARA0d       20080101000550100000005000 0000006050001095   
0601ARA0d       20080101000555100000005000 0000006130001100   
0601ARA0d       20080101000560100000005000 0000006220001106   
0601ARA0d       20080101000565100000005000 0000006310001112   
0601ARA0d       20080101000570100000005000 0000006410001120   
0601ARA0d       20080101000575100000005000 0000006500001126   
0601ARA0d       20080101000580100000005000 0000006580001130   
0601ARA0d       20080101000585100000005000 0000006670001135   
0601ARA0d       20080101000590100000005000 0000006760001141   
0601ARA0d       20080101000595100000005000 0000006870001150   
0601ARA0d       20080101000600100000005000 0000006960001155   
0601ARA0d       20080101000605100000005000 0000007060001162   
0601ARA0d       20080101000610100000005000 0000007150001167   
0601ARA0d       20080101000615100000005000 0000007260001176   
0601ARA0d       20080101000620100000005000 0000007350001181   
0601ARA0d       20080101000625100000005000 0000007450001187   
0601ARA0d       20080101000630100000005000 0000007540001192   
0601ARA0d       20080101000635100000005000 0000007630001197   
0601ARA0d       20080101000640100000005000 0000007750001206   
0601ARA0d       20080101000645100000005000 0000007840001211   
0601ARA0d       20080101000650100000005000 0000007940001217   
