00SO               20071026                                                                                   
0601SOA0d       20080101000000100000080000 0000000040000052   
0601SOA0d       20080101000080100000005000 0000000040000048   
0601SOA0d       20080101000085100000005000 0000000040000046   
0601SOA0d       20080101000090100000005000 0000000040000043   
0601SOA0d       20080101000095100000005000 0000000040000041   
0601SOA0d       20080101000100100000005000 0000000040000039   
0601SOA0d       20080101000105100000005000 0000000040000037   
0601SOA0d       20080101000110100000005000 0000000040000036   
0601SOA0d       20080101000115100000005000 0000000040000034   
0601SOA0d       20080101000120100000005000 0000000040000033   
0601SOA0d       20080101000125100000005000 0000000040000031   
0601SOA0d       20080101000130100000005000 0000000040000030   
0601SOA0d       20080101000135100000005000 0000000040000029   
0601SOA0d       20080101000140100000005000 0000000060000042   
0601SOA0d       20080101000145100000005000 0000000100000068   
0601SOA0d       20080101000150100000005000 0000000150000098   
0601SOA0d       20080101000155100000005000 0000000200000127   
0601SOA0d       20080101000160100000005000 0000000240000148   
0601SOA0d       20080101000165100000005000 0000000290000173   
0601SOA0d       20080101000170100000005000 0000000340000197   
0601SOA0d       20080101000175100000005000 0000000400000225   
0601SOA0d       20080101000180100000005000 0000000460000252   
0601SOA0d       20080101000185100000005000 0000000520000277   
0601SOA0d       20080101000190100000005000 0000000580000301   
0601SOA0d       20080101000195100000005000 0000000650000329   
0601SOA0d       20080101000200100000005000 0000000710000351   
0601SOA0d       20080101000205100000005000 0000000770000371   
0601SOA0d       20080101000210100000005000 0000000840000395   
0601SOA0d       20080101000215100000005000 0000000910000418   
0601SOA0d       20080101000220100000005000 0000000980000440   
0601SOA0d       20080101000225100000005000 0000001050000462   
0601SOA0d       20080101000230100000005000 0000001120000482   
0601SOA0d       20080101000235100000005000 0000001200000505   
0601SOA0d       20080101000240100000005000 0000001270000524   
0601SOA0d       20080101000245100000005000 0000001340000541   
0601SOA0d       20080101000250100000005000 0000001410000558   
0601SOA0d       20080101000255100000005000 0000001480000575   
0601SOA0d       20080101000260100000005000 0000001550000590   
0601SOA0d       20080101000265100000005000 0000001630000609   
0601SOA0d       20080101000270100000005000 0000001700000624   
0601SOA0d       20080101000275100000005000 0000001770000638   
0601SOA0d       20080101000280100000005000 0000001850000655   
0601SOA0d       20080101000285100000005000 0000001930000671   
0601SOA0d       20080101000290100000005000 0000002010000687   
0601SOA0d       20080101000295100000005000 0000002090000703   
0601SOA0d       20080101000300100000005000 0000002170000717   
0601SOA0d       20080101000305100000005000 0000002260000735   
0601SOA0d       20080101000310100000005000 0000002340000749   
0601SOA0d       20080101000315100000005000 0000002420000762   
0601SOA0d       20080101000320100000005000 0000002500000775   
0601SOA0d       20080101000325100000005000 0000002580000788   
0601SOA0d       20080101000330100000005000 0000002660000800   
0601SOA0d       20080101000335100000005000 0000002740000812   
0601SOA0d       20080101000340100000005000 0000002830000826   
0601SOA0d       20080101000345100000005000 0000002930000843   
0601SOA0d       20080101000350100000005000 0000003020000857   
0601SOA0d       20080101000355100000005000 0000003110000870   
0601SOA0d       20080101000360100000005000 0000003200000883   
0601SOA0d       20080101000365100000005000 0000003290000895   
0601SOA0d       20080101000370100000005000 0000003380000907   
0601SOA0d       20080101000375100000005000 0000003480000922   
0601SOA0d       20080101000380100000005000 0000003570000933   
0601SOA0d       20080101000385100000005000 0000003660000945   
0601SOA0d       20080101000390100000005000 0000003750000955   
0601SOA0d       20080101000395100000005000 0000003840000966   
0601SOA0d       20080101000400100000005000 0000003940000979   
0601SOA0d       20080101000405100000005000 0000004040000991   
0601SOA0d       20080101000410100000005000 0000004130001001   
0601SOA0d       20080101000415100000005000 0000004230001013   
0601SOA0d       20080101000420100000005000 0000004330001025   
0601SOA0d       20080101000425100000005000 0000004420001034   
0601SOA0d       20080101000430100000005000 0000004530001047   
0601SOA0d       20080101000435100000005000 0000004630001058   
0601SOA0d       20080101000440100000005000 0000004730001069   
0601SOA0d       20080101000445100000005000 0000004840001082   
0601SOA0d       20080101000450100000005000 0000004940001092   
0601SOA0d       20080101000455100000005000 0000005050001104   
0601SOA0d       20080101000460100000005000 0000005150001114   
0601SOA0d       20080101000465100000005000 0000005250001123   
0601SOA0d       20080101000470100000005000 0000005360001134   
0601SOA0d       20080101000475100000005000 0000005460001143   
0601SOA0d       20080101000480100000005000 0000005570001154   
0601SOA0d       20080101000485100000005000 0000005670001163   
0601SOA0d       20080101000490100000005000 0000005780001174   
0601SOA0d       20080101000495100000005000 0000005880001182   
0601SOA0d       20080101000500100000005000 0000005980001190   
0601SOA0d       20080101000505100000005000 0000006090001200   
0601SOA0d       20080101000510100000005000 0000006190001208   
0601SOA0d       20080101000515100000005000 0000006300001217   
0601SOA0d       20080101000520100000005000 0000006400001225   
0601SOA0d       20080101000525100000005000 0000006510001234   
0601SOA0d       20080101000530100000005000 0000006610001241   
0601SOA0d       20080101000535100000005000 0000006710001248   
0601SOA0d       20080101000540100000005000 0000006820001257   
0601SOA0d       20080101000545100000005000 0000006920001264   
0601SOA0d       20080101000550100000005000 0000007030001272   
0601SOA0d       20080101000555100000005000 0000007130001279   
0601SOA0d       20080101000560100000005000 0000007240001287   
0601SOA0d       20080101000565100000005000 0000007340001293   
0601SOA0d       20080101000570100000005000 0000007440001300   
0601SOA0d       20080101000575100000005000 0000007550001307   
0601SOA0d       20080101000580100000005000 0000007650001313   
0601SOA0d       20080101000585100000005000 0000007750001319   
0601SOA0d       20080101000590100000005000 0000007850001325   
0601SOA0d       20080101000595100000005000 0000007960001332   
0601SOA0d       20080101000600100000005000 0000008060001338   
0601SOA0d       20080101000605100000005000 0000008160001343   
0601SOA0d       20080101000610100000005000 0000008260001349   
0601SOA0d       20080101000615100000005000 0000008360001354   
0601SOA0d       20080101000620100000005000 0000008470001361   
0601SOA0d       20080101000625100000005000 0000008570001366   
0601SOA0d       20080101000630100000005000 0000008670001371   
0601SOA0d       20080101000635100000005000 0000008770001376   
0601SOA0d       20080101000640100000005000 0000008880001382   
0601SOA0d       20080101000645100000005000 0000008980001387   
0601SOA0d       20080101000650100000005000 0000009080001392   
0601SOA0d       20080101000655100000005000 0000009180001396   
0601SOA0d       20080101000660100000005000 0000009280001401   
0601SOA0d       20080101000665100000005000 0000009390001407   
0601SOA0d       20080101000670100000005000 0000009490001411   
0601SOA0d       20080101000675100000005000 0000009590001415   
0601SOA0d       20080101000680100000005000 0000009690001420   
0601SOA0d       20080101000685100000005000 0000009800001425   
0601SOA0d       20080101000690100000005000 0000009900001430   
0601SOA0d       20080101000695100000005000 0000010000001434   
0601SOA0d       20080101000700100000005000 0000010110001439   
0601SOA0d       20080101000705100000005000 0000010210001443   
0601SOA0d       20080101000710100000005000 0000010320001448   
0601SOA0d       20080101000715100000005000 0000010420001452   
0601SOA0d       20080101000720100000005000 0000010540001459   
0601SOA0d       20080101000725100000005000 0000010660001465   
