00ZH               20071005                                                                                   
0601ZHA0d       20080101000000100000080000 0000000020000050   
0601ZHA0d       20080101000080100000005000 0000000020000024   
0601ZHA0d       20080101000085100000005000 0000000020000023   
0601ZHA0d       20080101000090100000005000 0000000020000022   
0601ZHA0d       20080101000095100000005000 0000000020000021   
0601ZHA0d       20080101000100100000005000 0000000020000020   
0601ZHA0d       20080101000105100000005000 0000000020000019   
0601ZHA0d       20080101000110100000005000 0000000020000018   
0601ZHA0d       20080101000115100000005000 0000000020000017   
0601ZHA0d       20080101000120100000005000 0000000020000016   
0601ZHA0d       20080101000125100000005000 0000000020000016   
0601ZHA0d       20080101000130100000005000 0000000020000015   
0601ZHA0d       20080101000135100000005000 0000000020000015   
0601ZHA0d       20080101000140100000005000 0000000020000014   
0601ZHA0d       20080101000145100000005000 0000000020000014   
0601ZHA0d       20080101000150100000005000 0000000030000020   
0601ZHA0d       20080101000155100000005000 0000000040000025   
0601ZHA0d       20080101000160100000005000 0000000060000037   
0601ZHA0d       20080101000165100000005000 0000000080000048   
0601ZHA0d       20080101000170100000005000 0000000100000058   
0601ZHA0d       20080101000175100000005000 0000000120000068   
0601ZHA0d       20080101000180100000005000 0000000130000071   
0601ZHA0d       20080101000185100000005000 0000000150000080   
0601ZHA0d       20080101000190100000005000 0000000170000088   
0601ZHA0d       20080101000195100000005000 0000000200000101   
0601ZHA0d       20080101000200100000005000 0000000230000114   
0601ZHA0d       20080101000205100000005000 0000000250000120   
0601ZHA0d       20080101000210100000005000 0000000300000141   
0601ZHA0d       20080101000215100000005000 0000000330000152   
0601ZHA0d       20080101000220100000005000 0000000360000162   
0601ZHA0d       20080101000225100000005000 0000000390000171   
0601ZHA0d       20080101000230100000005000 0000000420000181   
0601ZHA0d       20080101000235100000005000 0000000450000189   
0601ZHA0d       20080101000240100000005000 0000000490000202   
0601ZHA0d       20080101000245100000005000 0000000530000214   
0601ZHA0d       20080101000250100000005000 0000000570000226   
0601ZHA0d       20080101000255100000005000 0000000610000237   
0601ZHA0d       20080101000260100000005000 0000000650000248   
0601ZHA0d       20080101000265100000005000 0000000690000258   
0601ZHA0d       20080101000270100000005000 0000000720000264   
0601ZHA0d       20080101000275100000005000 0000000760000274   
0601ZHA0d       20080101000280100000005000 0000000800000283   
0601ZHA0d       20080101000285100000005000 0000000840000292   
0601ZHA0d       20080101000290100000005000 0000000880000301   
0601ZHA0d       20080101000295100000005000 0000000920000309   
0601ZHA0d       20080101000300100000005000 0000000960000317   
0601ZHA0d       20080101000305100000005000 0000001000000325   
0601ZHA0d       20080101000310100000005000 0000001050000336   
0601ZHA0d       20080101000315100000005000 0000001090000343   
0601ZHA0d       20080101000320100000005000 0000001140000353   
0601ZHA0d       20080101000325100000005000 0000001190000363   
0601ZHA0d       20080101000330100000005000 0000001240000373   
0601ZHA0d       20080101000335100000005000 0000001280000379   
0601ZHA0d       20080101000340100000005000 0000001330000388   
0601ZHA0d       20080101000345100000005000 0000001380000397   
0601ZHA0d       20080101000350100000005000 0000001430000406   
0601ZHA0d       20080101000355100000005000 0000001480000414   
0601ZHA0d       20080101000360100000005000 0000001520000419   
0601ZHA0d       20080101000365100000005000 0000001570000427   
0601ZHA0d       20080101000370100000005000 0000001620000435   
0601ZHA0d       20080101000375100000005000 0000001670000442   
0601ZHA0d       20080101000380100000005000 0000001720000450   
0601ZHA0d       20080101000385100000005000 0000001760000454   
0601ZHA0d       20080101000390100000005000 0000001810000461   
0601ZHA0d       20080101000395100000005000 0000001870000470   
0601ZHA0d       20080101000400100000005000 0000001930000480   
0601ZHA0d       20080101000405100000005000 0000001980000486   
0601ZHA0d       20080101000410100000005000 0000002040000495   
0601ZHA0d       20080101000415100000005000 0000002100000503   
0601ZHA0d       20080101000420100000005000 0000002150000509   
0601ZHA0d       20080101000425100000005000 0000002210000517   
0601ZHA0d       20080101000430100000005000 0000002270000525   
0601ZHA0d       20080101000435100000005000 0000002340000535   
0601ZHA0d       20080101000440100000005000 0000002400000542   
0601ZHA0d       20080101000445100000005000 0000002470000552   
0601ZHA0d       20080101000450100000005000 0000002530000559   
0601ZHA0d       20080101000455100000005000 0000002590000566   
0601ZHA0d       20080101000460100000005000 0000002660000575   
0601ZHA0d       20080101000465100000005000 0000002720000582   
0601ZHA0d       20080101000470100000005000 0000002790000590   
0601ZHA0d       20080101000475100000005000 0000002850000597   
0601ZHA0d       20080101000480100000005000 0000002920000605   
0601ZHA0d       20080101000485100000005000 0000002980000611   
0601ZHA0d       20080101000490100000005000 0000003050000619   
0601ZHA0d       20080101000495100000005000 0000003120000627   
0601ZHA0d       20080101000500100000005000 0000003200000637   
0601ZHA0d       20080101000505100000005000 0000003270000644   
0601ZHA0d       20080101000510100000005000 0000003340000652   
0601ZHA0d       20080101000515100000005000 0000003420000661   
