00BE               20081114                                                                                   
0601BEA0d       20090101000000100000005000 0000000000000000   
0601BEA0d       20090101000005100000005000 0000000000000000   
0601BEA0d       20090101000010100000005000 0000000000000000   
0601BEA0d       20090101000015100000005000 0000000000000000   
0601BEA0d       20090101000020100000005000 0000000000000000   
0601BEA0d       20090101000025100000005000 0000000000000000   
0601BEA0d       20090101000030100000005000 0000000000000000   
0601BEA0d       20090101000035100000005000 0000000000000000   
0601BEA0d       20090101000040100000005000 0000000000000000   
0601BEA0d       20090101000045100000005000 0000000000000000   
0601BEA0d       20090101000050100000005000 0000000000000000   
0601BEA0d       20090101000055100000005000 0000000000000000   
0601BEA0d       20090101000060100000005000 0000000000000000   
0601BEA0d       20090101000065100000005000 0000000000000000   
0601BEA0d       20090101000070100000005000 0000000000000000   
0601BEA0d       20090101000075100000005000 0000000000000000   
0601BEA0d       20090101000080100000005000 0000000000000000   
0601BEA0d       20090101000085100000005000 0000000000000000   
0601BEA0d       20090101000090100000005000 0000000000000000   
0601BEA0d       20090101000095100000005000 0000000000000000   
0601BEA0d       20090101000100100000005000 0000000000000000   
0601BEA0d       20090101000105100000005000 0000000000000000   
0601BEA0d       20090101000110100000005000 0000000000000000   
0601BEA0d       20090101000115100000005000 0000000000000000   
0601BEA0d       20090101000120100000005000 0000000000000000   
0601BEA0d       20090101000125100000005000 0000000000000000   
0601BEA0d       20090101000130100000005000 0000000000000000   
0601BEA0d       20090101000135100000005000 0000000030000022   
0601BEA0d       20090101000140100000005000 0000000060000042   
0601BEA0d       20090101000145100000005000 0000000090000061   
0601BEA0d       20090101000150100000005000 0000000120000079   
0601BEA0d       20090101000155100000005000 0000000150000095   
0601BEA0d       20090101000160100000005000 0000000180000111   
0601BEA0d       20090101000165100000005000 0000000210000125   
0601BEA0d       20090101000170100000005000 0000000250000145   
0601BEA0d       20090101000175100000005000 0000000300000169   
0601BEA0d       20090101000180100000005000 0000000340000186   
0601BEA0d       20090101000185100000005000 0000000390000208   
0601BEA0d       20090101000190100000005000 0000000440000229   
0601BEA0d       20090101000195100000005000 0000000480000243   
0601BEA0d       20090101000200100000005000 0000000530000262   
0601BEA0d       20090101000205100000005000 0000000570000275   
0601BEA0d       20090101000210100000005000 0000000650000306   
0601BEA0d       20090101000215100000005000 0000000710000326   
0601BEA0d       20090101000220100000005000 0000000790000355   
0601BEA0d       20090101000225100000005000 0000000850000374   
0601BEA0d       20090101000230100000005000 0000000910000391   
0601BEA0d       20090101000235100000005000 0000000970000408   
0601BEA0d       20090101000240100000005000 0000001030000425   
0601BEA0d       20090101000245100000005000 0000001090000440   
0601BEA0d       20090101000250100000005000 0000001150000455   
0601BEA0d       20090101000255100000005000 0000001210000470   
0601BEA0d       20090101000260100000005000 0000001270000484   
0601BEA0d       20090101000265100000005000 0000001330000497   
0601BEA0d       20090101000270100000005000 0000001390000510   
0601BEA0d       20090101000275100000005000 0000001460000526   
0601BEA0d       20090101000280100000005000 0000001520000538   
0601BEA0d       20090101000285100000005000 0000001580000550   
0601BEA0d       20090101000290100000005000 0000001640000561   
0601BEA0d       20090101000295100000005000 0000001700000571   
0601BEA0d       20090101000300100000005000 0000001760000582   
0601BEA0d       20090101000305100000005000 0000001860000605   
0601BEA0d       20090101000310100000005000 0000001940000621   
0601BEA0d       20090101000315100000005000 0000002040000643   
0601BEA0d       20090101000320100000005000 0000002130000660   
0601BEA0d       20090101000325100000005000 0000002250000687   
