00BL               20081110                                                                                   
0601BLA0d       20090101000000100000120000 0000000010000009   
0601BLA0d       20090101000120100000005000 0000000010000008   
0601BLA0d       20090101000125100000005000 0000000020000016   
0601BLA0d       20090101000130100000005000 0000000020000015   
0601BLA0d       20090101000135100000005000 0000000020000015   
0601BLA0d       20090101000140100000005000 0000000020000014   
0601BLA0d       20090101000145100000005000 0000000020000014   
0601BLA0d       20090101000150100000005000 0000000020000013   
0601BLA0d       20090101000155100000005000 0000000020000013   
0601BLA0d       20090101000160100000005000 0000000030000018   
0601BLA0d       20090101000165100000005000 0000000030000018   
0601BLA0d       20090101000170100000005000 0000000030000017   
0601BLA0d       20090101000175100000005000 0000000030000017   
0601BLA0d       20090101000180100000005000 0000000030000016   
0601BLA0d       20090101000185100000005000 0000000030000016   
0601BLA0d       20090101000190100000005000 0000000030000016   
0601BLA0d       20090101000195100000005000 0000000030000015   
0601BLA0d       20090101000200100000005000 0000000170000084   
0601BLA0d       20090101000205100000005000 0000000200000096   
0601BLA0d       20090101000210100000005000 0000000260000122   
0601BLA0d       20090101000215100000005000 0000000300000138   
0601BLA0d       20090101000220100000005000 0000000350000157   
0601BLA0d       20090101000225100000005000 0000000390000171   
0601BLA0d       20090101000230100000005000 0000000440000189   
0601BLA0d       20090101000235100000005000 0000000490000206   
0601BLA0d       20090101000240100000005000 0000000540000223   
0601BLA0d       20090101000245100000005000 0000000590000238   
0601BLA0d       20090101000250100000005000 0000000640000253   
0601BLA0d       20090101000255100000005000 0000000700000272   
0601BLA0d       20090101000260100000005000 0000000750000286   
0601BLA0d       20090101000265100000005000 0000000810000303   
0601BLA0d       20090101000270100000005000 0000000870000319   
0601BLA0d       20090101000275100000005000 0000000930000335   
0601BLA0d       20090101000280100000005000 0000000990000350   
0601BLA0d       20090101000285100000005000 0000001060000369   
0601BLA0d       20090101000290100000005000 0000001120000383   
0601BLA0d       20090101000295100000005000 0000001190000400   
0601BLA0d       20090101000300100000005000 0000001260000417   
0601BLA0d       20090101000305100000005000 0000001320000429   
0601BLA0d       20090101000310100000005000 0000001390000445   
0601BLA0d       20090101000315100000005000 0000001460000460   
0601BLA0d       20090101000320100000005000 0000001530000474   
0601BLA0d       20090101000325100000005000 0000001610000492   
0601BLA0d       20090101000330100000005000 0000001680000505   
0601BLA0d       20090101000335100000005000 0000001760000521   
0601BLA0d       20090101000340100000005000 0000001830000534   
0601BLA0d       20090101000345100000005000 0000001910000550   
0601BLA0d       20090101000350100000005000 0000001990000565   
0601BLA0d       20090101000355100000005000 0000002070000579   
0601BLA0d       20090101000360100000005000 0000002150000593   
0601BLA0d       20090101000365100000005000 0000002230000607   
0601BLA0d       20090101000370100000005000 0000002310000620   
0601BLA0d       20090101000375100000005000 0000002400000636   
0601BLA0d       20090101000380100000005000 0000002480000648   
0601BLA0d       20090101000385100000005000 0000002570000663   
0601BLA0d       20090101000390100000005000 0000002650000675   
0601BLA0d       20090101000395100000005000 0000002740000689   
0601BLA0d       20090101000400100000005000 0000002830000703   
0601BLA0d       20090101000405100000005000 0000002920000717   
0601BLA0d       20090101000410100000005000 0000003000000727   
0601BLA0d       20090101000415100000005000 0000003100000743   
0601BLA0d       20090101000420100000005000 0000003190000755   
0601BLA0d       20090101000425100000005000 0000003280000767   
0601BLA0d       20090101000430100000005000 0000003380000782   
0601BLA0d       20090101000435100000005000 0000003480000795   
0601BLA0d       20090101000440100000005000 0000003580000809   
0601BLA0d       20090101000445100000005000 0000003680000822   
0601BLA0d       20090101000450100000005000 0000003790000838   
