00BS               20080912                                                                                   
0601BSA0d       20090101000000100000110000 0000000000000000   
0601BSA0d       20090101000110100000010000 0000000000000000   
0601BSA0d       20090101000120100000010000 0000000000000000   
0601BSA0d       20090101000130100000010000 0000000000000000   
0601BSA0d       20090101000140100000010000 0000000000000000   
0601BSA0d       20090101000150100000010000 0000000000000000   
0601BSA0d       20090101000160100000010000 0000000000000000   
0601BSA0d       20090101000170100000010000 0000000000000000   
0601BSA0d       20090101000180100000010000 0000000000000000   
0601BSA0d       20090101000190100000010000 0000000000000000   
0601BSA0d       20090101000200100000010000 0000000000000000   
0601BSA0d       20090101000210100000010000 0000000000000011   
0601BSA0d       20090101000220100000010000 0000000000000013   
0601BSA0d       20090101000230100000010000 0000000000000058   
0601BSA0d       20090101000240100000010000 0000000000000138   
0601BSA0d       20090101000250100000010000 0000000000000219   
0601BSA0d       20090101000260100000010000 0000000000000287   
0601BSA0d       20090101000270100000010000 0000000000000358   
0601BSA0d       20090101000280100000010000 0000000000000416   
0601BSA0d       20090101000290100000010000 0000000000000477   
0601BSA0d       20090101000300100000010000 0000000000000528   
0601BSA0d       20090101000310100000010000 0000000000000581   
0601BSA0d       20090101000320100000010000 0000000000000626   
0601BSA0d       20090101000330100000010000 0000000000000667   
0601BSA0d       20090101000340100000010000 0000000000000713   
0601BSA0d       20090101000350100000010000 0000000000000750   
0601BSA0d       20090101000360100000010000 0000000000000790   
0601BSA0d       20090101000370100000010000 0000000000000840   
0601BSA0d       20090101000380100000010000 0000000000000878   
0601BSA0d       20090101000390100000010000 0000000000000908   
0601BSA0d       20090101000400100000010000 0000000000000941   
0601BSA0d       20090101000410100000010000 0000000000000969   
0601BSA0d       20090101000420100000010000 0000000000000995   
0601BSA0d       20090101000430100000010000 0000000000001026   
0601BSA0d       20090101000440100000010000 0000000000001053   
0601BSA0d       20090101000450100000010000 0000000000001083   
0601BSA0d       20090101000460100000010000 0000000000001107   
0601BSA0d       20090101000470100000010000 0000000000001135   
0601BSA0d       20090101000480100000010000 0000000000001158   
0601BSA0d       20090101000490100000010000 0000000000001184   
0601BSA0d       20090101000500100000010000 0000000000001204   
0601BSA0d       20090101000510100000010000 0000000000001224   
0601BSA0d       20090101000520100000010000 0000000000001247   
0601BSA0d       20090101000530100000010000 0000000000001265   
0601BSA0d       20090101000540100000010000 0000000000001287   
0601BSA0d       20090101000550100000010000 0000000000001304   
0601BSA0d       20090101000560100000010000 0000000000001324   
0601BSA0d       20090101000570100000010000 0000000000001340   
0601BSA0d       20090101000580100000010000 0000000000001359   
0601BSA0d       20090101000590100000010000 0000000000001374   
0601BSA0d       20090101000600100000010000 0000000000001389   
