00GL               20090106                                                                                   
0601GLA0d       20090101000000100000040000 0000000104000500   
0601GLA0d       20090101000040100000005000 0000000104000235   
0601GLA0d       20090101000045100000005000 0000000104000211   
0601GLA0d       20090101000050100000005000 0000000104000190   
0601GLA0d       20090101000055100000005000 0000000104000174   
0601GLA0d       20090101000060100000005000 0000000104000160   
0601GLA0d       20090101000065100000005000 0000000104000148   
0601GLA0d       20090101000070100000005000 0000000104000138   
0601GLA0d       20090101000075100000005000 0000000104000129   
0601GLA0d       20090101000080100000005000 0000000104000121   
0601GLA0d       20090101000085100000005000 0000000104000114   
0601GLA0d       20090101000090100000005000 0000000104000108   
0601GLA0d       20090101000095100000005000 0000000104000103   
0601GLA0d       20090101000100100000005000 0000000104000098   
0601GLA0d       20090101000105100000005000 0000000104000093   
0601GLA0d       20090101000110100000005000 0000000104000089   
0601GLA0d       20090101000115100000005000 0000000104000085   
0601GLA0d       20090101000120100000005000 0000000121500098   
0601GLA0d       20090101000125100000005000 0000000150500118   
0601GLA0d       20090101000130100000005000 0000000180000136   
0601GLA0d       20090101000135100000005000 0000000209000153   
0601GLA0d       20090101000140100000005000 0000000238000168   
0601GLA0d       20090101000145100000005000 0000000267000183   
0601GLA0d       20090101000150100000005000 0000000296000197   
0601GLA0d       20090101000155100000005000 0000000325500210   
0601GLA0d       20090101000160100000005000 0000000354500215   
0601GLA0d       20090101000165100000005000 0000000395000239   
0601GLA0d       20090101000170100000005000 0000000443500255   
0601GLA0d       20090101000175100000005000 0000000502000282   
0601GLA0d       20090101000180100000005000 0000000550500301   
0601GLA0d       20090101000185100000005000 0000000599000320   
0601GLA0d       20090101000190100000005000 0000000647500338   
0601GLA0d       20090101000195100000005000 0000000696000354   
0601GLA0d       20090101000200100000005000 0000000744500365   
0601GLA0d       20090101000205100000005000 0000000793000381   
0601GLA0d       20090101000210100000005000 0000000863500405   
0601GLA0d       20090101000215100000005000 0000000915500423   
0601GLA0d       20090101000220100000005000 0000000967000436   
0601GLA0d       20090101000225100000005000 0000001019000448   
0601GLA0d       20090101000230100000005000 0000001070500460   
0601GLA0d       20090101000235100000005000 0000001122000472   
0601GLA0d       20090101000240100000005000 0000001188000491   
0601GLA0d       20090101000245100000005000 0000001257000509   
0601GLA0d       20090101000250100000005000 0000001326000527   
0601GLA0d       20090101000255100000005000 0000001395500544   
0601GLA0d       20090101000260100000005000 0000001464500556   
0601GLA0d       20090101000265100000005000 0000001533500572   
0601GLA0d       20090101000270100000005000 0000001603000587   
0601GLA0d       20090101000275100000005000 0000001672000602   
0601GLA0d       20090101000280100000005000 0000001741000616   
0601GLA0d       20090101000285100000005000 0000001810500630   
0601GLA0d       20090101000290100000005000 0000001895000650   
0601GLA0d       20090101000295100000005000 0000001966500662   
0601GLA0d       20090101000300100000005000 0000002037500674   
0601GLA0d       20090101000305100000005000 0000002108500686   
0601GLA0d       20090101000310100000005000 0000002179500698   
0601GLA0d       20090101000315100000005000 0000002250500709   
0601GLA0d       20090101000320100000005000 0000002322000719   
0601GLA0d       20090101000325100000005000 0000002393000730   
0601GLA0d       20090101000330100000005000 0000002464000740   
0601GLA0d       20090101000335100000005000 0000002535000753   
0601GLA0d       20090101000340100000005000 0000002606500762   
0601GLA0d       20090101000345100000005000 0000002678000771   
0601GLA0d       20090101000350100000005000 0000002749500780   
0601GLA0d       20090101000355100000005000 0000002821000789   
0601GLA0d       20090101000360100000005000 0000002892500797   
0601GLA0d       20090101000365100000005000 0000002964500805   
0601GLA0d       20090101000370100000005000 0000003036000816   
0601GLA0d       20090101000375100000005000 0000003107500824   
0601GLA0d       20090101000380100000005000 0000003179000831   
0601GLA0d       20090101000385100000005000 0000003250500839   
0601GLA0d       20090101000390100000005000 0000003322000846   
0601GLA0d       20090101000395100000005000 0000003393500853   
0601GLA0d       20090101000400100000005000 0000003465000862   
0601GLA0d       20090101000405100000005000 0000003551000871   
0601GLA0d       20090101000410100000005000 0000003622500878   
0601GLA0d       20090101000415100000005000 0000003694000884   
0601GLA0d       20090101000420100000005000 0000003765500892   
0601GLA0d       20090101000425100000005000 0000003837500898   
0601GLA0d       20090101000430100000005000 0000003913000904   
0601GLA0d       20090101000435100000005000 0000003992000912   
0601GLA0d       20090101000440100000005000 0000004071000920   
0601GLA0d       20090101000445100000005000 0000004150000927   
0601GLA0d       20090101000450100000005000 0000004229000935   
0601GLA0d       20090101000455100000005000 0000004307500942   
0601GLA0d       20090101000460100000005000 0000004386500949   
0601GLA0d       20090101000465100000005000 0000004465500956   
0601GLA0d       20090101000470100000005000 0000004544500961   
0601GLA0d       20090101000475100000005000 0000004623000968   
0601GLA0d       20090101000480100000005000 0000004718000978   
0601GLA0d       20090101000485100000005000 0000004796500985   
0601GLA0d       20090101000490100000005000 0000004875500991   
0601GLA0d       20090101000495100000005000 0000004954500995   
0601GLA0d       20090101000500100000005000 0000005033501001   
0601GLA0d       20090101000505100000005000 0000005128001011   
0601GLA0d       20090101000510100000005000 0000005207001017   
0601GLA0d       20090101000515100000005000 0000005286001022   
0601GLA0d       20090101000520100000005000 0000005365001028   
0601GLA0d       20090101000525100000005000 0000005459501035   
0601GLA0d       20090101000530100000005000 0000005538501040   
0601GLA0d       20090101000535100000005000 0000005634501047   
0601GLA0d       20090101000540100000005000 0000005735501058   
0601GLA0d       20090101000545100000005000 0000005836001067   
0601GLA0d       20090101000550100000005000 0000005957001079   
0601GLA0d       20090101000555100000005000 0000006058001087   
0601GLA0d       20090101000560100000005000 0000006160501095   
0601GLA0d       20090101000565100000005000 0000006262501103   
0601GLA0d       20090101000570100000005000 0000006364501111   
0601GLA0d       20090101000575100000005000 0000006466501120   
0601GLA0d       20090101000580100000005000 0000006568501128   
0601GLA0d       20090101000585100000005000 0000006670501135   
0601GLA0d       20090101000590100000005000 0000006773001143   
0601GLA0d       20090101000595100000005000 0000006875001151   
0601GLA0d       20090101000600100000005000 0000006977001159   
0601GLA0d       20090101000605100000005000 0000007079001165   
0601GLA0d       20090101000610100000005000 0000007181001172   
0601GLA0d       20090101000615100000005000 0000007283501179   
0601GLA0d       20090101000620100000005000 0000007385501187   
0601GLA0d       20090101000625100000005000 0000007487501194   
