00LU               20081107                                                                                   
0601LUA0d       20090101000000100000120000 0000000040000034   
0601LUA0d       20090101000120100000005000 0000000040000033   
0601LUA0d       20090101000125100000005000 0000000040000031   
0601LUA0d       20090101000130100000005000 0000000040000030   
0601LUA0d       20090101000135100000005000 0000000050000036   
0601LUA0d       20090101000140100000005000 0000000060000042   
0601LUA0d       20090101000145100000005000 0000000060000041   
0601LUA0d       20090101000150100000005000 0000000070000046   
0601LUA0d       20090101000155100000005000 0000000080000051   
0601LUA0d       20090101000160100000005000 0000000100000062   
0601LUA0d       20090101000165100000005000 0000000110000066   
0601LUA0d       20090101000170100000005000 0000000130000075   
0601LUA0d       20090101000175100000005000 0000000140000079   
0601LUA0d       20090101000180100000005000 0000000160000088   
0601LUA0d       20090101000185100000005000 0000000190000101   
0601LUA0d       20090101000190100000005000 0000000220000114   
0601LUA0d       20090101000195100000005000 0000000260000132   
0601LUA0d       20090101000200100000005000 0000000310000153   
0601LUA0d       20090101000205100000005000 0000000360000173   
0601LUA0d       20090101000210100000005000 0000000440000207   
0601LUA0d       20090101000215100000005000 0000000500000230   
0601LUA0d       20090101000220100000005000 0000000560000252   
0601LUA0d       20090101000225100000005000 0000000620000273   
0601LUA0d       20090101000230100000005000 0000000690000297   
0601LUA0d       20090101000235100000005000 0000000760000320   
0601LUA0d       20090101000240100000005000 0000000820000338   
0601LUA0d       20090101000245100000005000 0000000890000360   
0601LUA0d       20090101000250100000005000 0000000960000380   
0601LUA0d       20090101000255100000005000 0000001030000400   
0601LUA0d       20090101000260100000005000 0000001090000415   
0601LUA0d       20090101000265100000005000 0000001160000434   
0601LUA0d       20090101000270100000005000 0000001240000455   
0601LUA0d       20090101000275100000005000 0000001310000472   
0601LUA0d       20090101000280100000005000 0000001380000488   
0601LUA0d       20090101000285100000005000 0000001460000508   
0601LUA0d       20090101000290100000005000 0000001550000530   
0601LUA0d       20090101000295100000005000 0000001620000545   
0601LUA0d       20090101000300100000005000 0000001690000559   
0601LUA0d       20090101000305100000005000 0000001770000576   
0601LUA0d       20090101000310100000005000 0000001840000589   
0601LUA0d       20090101000315100000005000 0000001920000605   
0601LUA0d       20090101000320100000005000 0000001990000617   
0601LUA0d       20090101000325100000005000 0000002060000629   
0601LUA0d       20090101000330100000005000 0000002140000644   
0601LUA0d       20090101000335100000005000 0000002210000655   
0601LUA0d       20090101000340100000005000 0000002290000669   
0601LUA0d       20090101000345100000005000 0000002360000679   
0601LUA0d       20090101000350100000005000 0000002430000689   
0601LUA0d       20090101000355100000005000 0000002510000702   
0601LUA0d       20090101000360100000005000 0000002580000712   
0601LUA0d       20090101000365100000005000 0000002660000724   
0601LUA0d       20090101000370100000005000 0000002730000733   
0601LUA0d       20090101000375100000005000 0000002810000744   
0601LUA0d       20090101000380100000005000 0000002880000753   
0601LUA0d       20090101000385100000005000 0000002960000764   
0601LUA0d       20090101000390100000005000 0000003030000772   
0601LUA0d       20090101000395100000005000 0000003100000780   
0601LUA0d       20090101000400100000005000 0000003180000790   
0601LUA0d       20090101000405100000005000 0000003270000802   
0601LUA0d       20090101000410100000005000 0000003340000810   
0601LUA0d       20090101000415100000005000 0000003420000819   
