00NW               20081126                                                                                   
0601NWA0d       20090101000000100000100000 0000000080000160   
0601NWA0d       20090101000100100000005000 0000000080000078   
0601NWA0d       20090101000105100000005000 0000000190000177   
0601NWA0d       20090101000110100000005000 0000000200000178   
0601NWA0d       20090101000115100000005000 0000000210000179   
0601NWA0d       20090101000120100000005000 0000000220000180   
0601NWA0d       20090101000125100000005000 0000000230000180   
0601NWA0d       20090101000130100000005000 0000000250000189   
0601NWA0d       20090101000135100000005000 0000000270000196   
0601NWA0d       20090101000140100000005000 0000000290000204   
0601NWA0d       20090101000145100000005000 0000000320000217   
0601NWA0d       20090101000150100000005000 0000000350000230   
0601NWA0d       20090101000155100000005000 0000000370000235   
0601NWA0d       20090101000160100000005000 0000000410000252   
0601NWA0d       20090101000165100000005000 0000000430000257   
0601NWA0d       20090101000170100000005000 0000000470000272   
0601NWA0d       20090101000175100000005000 0000000500000282   
0601NWA0d       20090101000180100000005000 0000000540000296   
0601NWA0d       20090101000185100000005000 0000000580000309   
0601NWA0d       20090101000190100000005000 0000000620000322   
0601NWA0d       20090101000195100000005000 0000000660000334   
0601NWA0d       20090101000200100000005000 0000000710000351   
0601NWA0d       20090101000205100000005000 0000000760000366   
0601NWA0d       20090101000210100000005000 0000000830000391   
0601NWA0d       20090101000215100000005000 0000000890000409   
0601NWA0d       20090101000220100000005000 0000000940000422   
0601NWA0d       20090101000225100000005000 0000000990000435   
0601NWA0d       20090101000230100000005000 0000001050000452   
0601NWA0d       20090101000235100000005000 0000001110000467   
0601NWA0d       20090101000240100000005000 0000001170000482   
0601NWA0d       20090101000245100000005000 0000001220000493   
0601NWA0d       20090101000250100000005000 0000001280000507   
0601NWA0d       20090101000255100000005000 0000001340000520   
0601NWA0d       20090101000260100000005000 0000001400000533   
0601NWA0d       20090101000265100000005000 0000001460000546   
0601NWA0d       20090101000270100000005000 0000001510000554   
0601NWA0d       20090101000275100000005000 0000001570000566   
0601NWA0d       20090101000280100000005000 0000001630000577   
0601NWA0d       20090101000285100000005000 0000001680000584   
