00OW               20081103                                                                                   
0601OWA0d       20090101000000100000040000 0000000030000150   
0601OWA0d       20090101000040100000005000 0000000030000071   
0601OWA0d       20090101000045100000005000 0000000030000063   
0601OWA0d       20090101000050100000005000 0000000030000057   
0601OWA0d       20090101000055100000005000 0000000030000052   
0601OWA0d       20090101000060100000005000 0000000030000048   
0601OWA0d       20090101000065100000005000 0000000030000044   
0601OWA0d       20090101000070100000005000 0000000030000041   
0601OWA0d       20090101000075100000005000 0000000030000039   
0601OWA0d       20090101000080100000005000 0000000030000036   
0601OWA0d       20090101000085100000005000 0000000030000034   
0601OWA0d       20090101000090100000005000 0000000030000032   
0601OWA0d       20090101000095100000005000 0000000030000031   
0601OWA0d       20090101000100100000005000 0000000030000029   
0601OWA0d       20090101000105100000005000 0000000030000028   
0601OWA0d       20090101000110100000005000 0000000030000027   
0601OWA0d       20090101000115100000005000 0000000030000026   
0601OWA0d       20090101000120100000005000 0000000030000024   
0601OWA0d       20090101000125100000005000 0000000030000024   
0601OWA0d       20090101000130100000005000 0000000040000030   
0601OWA0d       20090101000135100000005000 0000000090000065   
0601OWA0d       20090101000140100000005000 0000000140000098   
0601OWA0d       20090101000145100000005000 0000000200000136   
0601OWA0d       20090101000150100000005000 0000000260000170   
0601OWA0d       20090101000155100000005000 0000000300000190   
0601OWA0d       20090101000160100000005000 0000000360000222   
0601OWA0d       20090101000165100000005000 0000000420000251   
0601OWA0d       20090101000170100000005000 0000000460000267   
0601OWA0d       20090101000175100000005000 0000000520000293   
0601OWA0d       20090101000180100000005000 0000000570000312   
0601OWA0d       20090101000185100000005000 0000000620000331   
0601OWA0d       20090101000190100000005000 0000000680000353   
0601OWA0d       20090101000195100000005000 0000000730000370   
0601OWA0d       20090101000200100000005000 0000000790000390   
0601OWA0d       20090101000205100000005000 0000000840000405   
0601OWA0d       20090101000210100000005000 0000000910000428   
0601OWA0d       20090101000215100000005000 0000000970000446   
0601OWA0d       20090101000220100000005000 0000001020000458   
0601OWA0d       20090101000225100000005000 0000001080000475   
0601OWA0d       20090101000230100000005000 0000001140000490   
0601OWA0d       20090101000235100000005000 0000001190000501   
0601OWA0d       20090101000240100000005000 0000001250000515   
0601OWA0d       20090101000245100000005000 0000001310000529   
0601OWA0d       20090101000250100000005000 0000001370000543   
0601OWA0d       20090101000255100000005000 0000001420000551   
0601OWA0d       20090101000260100000005000 0000001480000564   
0601OWA0d       20090101000265100000005000 0000001530000572   
0601OWA0d       20090101000270100000005000 0000001580000580   
0601OWA0d       20090101000275100000005000 0000001640000591   
0601OWA0d       20090101000280100000005000 0000001700000602   
0601OWA0d       20090101000285100000005000 0000001750000609   
0601OWA0d       20090101000290100000005000 0000001810000619   
0601OWA0d       20090101000295100000005000 0000001870000629   
0601OWA0d       20090101000300100000005000 0000001930000638   
0601OWA0d       20090101000305100000005000 0000001980000644   
0601OWA0d       20090101000310100000005000 0000002040000653   
0601OWA0d       20090101000315100000005000 0000002100000661   
0601OWA0d       20090101000320100000005000 0000002150000667   
0601OWA0d       20090101000325100000005000 0000002210000675   
0601OWA0d       20090101000330100000005000 0000002260000680   
0601OWA0d       20090101000335100000005000 0000002310000684   
0601OWA0d       20090101000340100000005000 0000002370000692   
0601OWA0d       20090101000345100000005000 0000002430000699   
0601OWA0d       20090101000350100000005000 0000002490000706   
0601OWA0d       20090101000355100000005000 0000002540000710   
0601OWA0d       20090101000360100000005000 0000002600000717   
0601OWA0d       20090101000365100000005000 0000002660000724   
0601OWA0d       20090101000370100000005000 0000002710000728   
0601OWA0d       20090101000375100000005000 0000002770000734   
0601OWA0d       20090101000380100000005000 0000002830000740   
0601OWA0d       20090101000385100000005000 0000002890000746   
0601OWA0d       20090101000390100000005000 0000002940000749   
0601OWA0d       20090101000395100000005000 0000003000000755   
0601OWA0d       20090101000400100000005000 0000003060000760   
0601OWA0d       20090101000405100000005000 0000003120000766   
0601OWA0d       20090101000410100000005000 0000003180000771   
0601OWA0d       20090101000415100000005000 0000003250000778   
0601OWA0d       20090101000420100000005000 0000003310000783   
0601OWA0d       20090101000425100000005000 0000003370000788   
0601OWA0d       20090101000430100000005000 0000003440000795   
0601OWA0d       20090101000435100000005000 0000003510000802   
0601OWA0d       20090101000440100000005000 0000003580000809   
0601OWA0d       20090101000445100000005000 0000003650000816   
0601OWA0d       20090101000450100000005000 0000003710000820   
0601OWA0d       20090101000455100000005000 0000003780000826   
0601OWA0d       20090101000460100000005000 0000003860000835   
0601OWA0d       20090101000465100000005000 0000003930000841   
0601OWA0d       20090101000470100000005000 0000003990000844   
0601OWA0d       20090101000475100000005000 0000004060000850   
0601OWA0d       20090101000480100000005000 0000004140000858   
0601OWA0d       20090101000485100000005000 0000004210000864   
0601OWA0d       20090101000490100000005000 0000004270000867   
0601OWA0d       20090101000495100000005000 0000004340000872   
0601OWA0d       20090101000500100000005000 0000004410000878   
0601OWA0d       20090101000505100000005000 0000004490000885   
0601OWA0d       20090101000510100000005000 0000004560000890   
0601OWA0d       20090101000515100000005000 0000004620000893   
0601OWA0d       20090101000520100000005000 0000004690000898   
0601OWA0d       20090101000525100000005000 0000004770000904   
0601OWA0d       20090101000530100000005000 0000004840000909   
0601OWA0d       20090101000535100000005000 0000004900000912   
0601OWA0d       20090101000540100000005000 0000004970000916   
0601OWA0d       20090101000545100000005000 0000005040000921   
0601OWA0d       20090101000550100000005000 0000005120000927   
0601OWA0d       20090101000555100000005000 0000005180000929   
0601OWA0d       20090101000560100000005000 0000005250000933   
0601OWA0d       20090101000565100000005000 0000005320000937   
0601OWA0d       20090101000570100000005000 0000005400000943   
0601OWA0d       20090101000575100000005000 0000005470000947   
0601OWA0d       20090101000580100000005000 0000005540000951   
0601OWA0d       20090101000585100000005000 0000005600000953   
0601OWA0d       20090101000590100000005000 0000005670000957   
0601OWA0d       20090101000595100000005000 0000005750000962   
0601OWA0d       20090101000600100000005000 0000005820000966   
0601OWA0d       20090101000605100000005000 0000005890000970   
0601OWA0d       20090101000610100000005000 0000005960000973   
0601OWA0d       20090101000615100000005000 0000006040000978   
0601OWA0d       20090101000620100000005000 0000006100000980   
0601OWA0d       20090101000625100000005000 0000006170000983   
0601OWA0d       20090101000630100000005000 0000006240000987   
0601OWA0d       20090101000635100000005000 0000006310000990   
0601OWA0d       20090101000640100000005000 0000006390000995   
0601OWA0d       20090101000645100000005000 0000006460000998   
0601OWA0d       20090101000650100000005000 0000006530001001   
0601OWA0d       20090101000655100000005000 0000006590001002   
0601OWA0d       20090101000660100000005000 0000006670001007   
0601OWA0d       20090101000665100000005000 0000006740001010   
0601OWA0d       20090101000670100000005000 0000006810001013   
0601OWA0d       20090101000675100000005000 0000006880001015   
0601OWA0d       20090101000680100000005000 0000006950001018   
0601OWA0d       20090101000685100000005000 0000007030001023   
0601OWA0d       20090101000690100000005000 0000007090001024   
0601OWA0d       20090101000695100000005000 0000007160001027   
0601OWA0d       20090101000700100000005000 0000007230001029   
0601OWA0d       20090101000705100000005000 0000007310001033   
0601OWA0d       20090101000710100000005000 0000007380001036   
0601OWA0d       20090101000715100000005000 0000007450001038   
0601OWA0d       20090101000720100000005000 0000007530001042   
0601OWA0d       20090101000725100000005000 0000007610001046   
0601OWA0d       20090101000730100000005000 0000007700001051   
0601OWA0d       20090101000735100000005000 0000007780001055   
0601OWA0d       20090101000740100000005000 0000007860001059   
0601OWA0d       20090101000745100000005000 0000007940001062   
0601OWA0d       20090101000750100000005000 0000008030001067   
0601OWA0d       20090101000755100000005000 0000008110001071   
0601OWA0d       20090101000760100000005000 0000008190001074   
0601OWA0d       20090101000765100000005000 0000008270001078   
0601OWA0d       20090101000770100000005000 0000008350001081   
0601OWA0d       20090101000775100000005000 0000008450001087   
0601OWA0d       20090101000780100000005000 0000008530001090   
0601OWA0d       20090101000785100000005000 0000008610001093   
0601OWA0d       20090101000790100000005000 0000008690001097   
0601OWA0d       20090101000795100000005000 0000008790001102   
0601OWA0d       20090101000800100000005000 0000008870001105   
0601OWA0d       20090101000805100000005000 0000008950001108   
0601OWA0d       20090101000810100000005000 0000009030001111   
0601OWA0d       20090101000815100000005000 0000009110001114   
0601OWA0d       20090101000820100000005000 0000009210001120   
0601OWA0d       20090101000825100000005000 0000009290001123   
0601OWA0d       20090101000830100000005000 0000009370001126   
0601OWA0d       20090101000835100000005000 0000009460001130   
0601OWA0d       20090101000840100000005000 0000009550001134   
0601OWA0d       20090101000845100000005000 0000009630001136   
0601OWA0d       20090101000850100000005000 0000009710001139   
0601OWA0d       20090101000855100000005000 0000009800001143   
0601OWA0d       20090101000860100000005000 0000009880001146   
0601OWA0d       20090101000865100000005000 0000009970001149   
0601OWA0d       20090101000870100000005000 0000010060001153   
0601OWA0d       20090101000875100000005000 0000010140001156   
0601OWA0d       20090101000880100000005000 0000010220001158   
0601OWA0d       20090101000885100000005000 0000010320001163   
0601OWA0d       20090101000890100000005000 0000010400001165   
0601OWA0d       20090101000895100000005000 0000010480001168   
0601OWA0d       20090101000900100000005000 0000010560001170   
0601OWA0d       20090101000905100000005000 0000010650001174   
0601OWA0d       20090101000910100000005000 0000010740001177   
0601OWA0d       20090101000915100000005000 0000010820001179   
0601OWA0d       20090101000920100000005000 0000010900001182   
