00SG               20081219                                                                                   
0601SGA0d       20090101000000100000115000 0000000030000027   
0601SGA0d       20090101000115100000005000 0000000030000026   
0601SGA0d       20090101000120100000005000 0000000030000024   
0601SGA0d       20090101000125100000005000 0000000030000024   
0601SGA0d       20090101000130100000005000 0000000030000023   
0601SGA0d       20090101000135100000005000 0000000030000022   
0601SGA0d       20090101000140100000005000 0000000040000028   
0601SGA0d       20090101000145100000005000 0000000060000041   
0601SGA0d       20090101000150100000005000 0000000100000066   
0601SGA0d       20090101000155100000005000 0000000130000083   
0601SGA0d       20090101000160100000005000 0000000180000111   
0601SGA0d       20090101000165100000005000 0000000230000137   
0601SGA0d       20090101000170100000005000 0000000280000162   
0601SGA0d       20090101000175100000005000 0000000340000192   
0601SGA0d       20090101000180100000005000 0000000390000214   
0601SGA0d       20090101000185100000005000 0000000450000240   
0601SGA0d       20090101000190100000005000 0000000500000260   
0601SGA0d       20090101000195100000005000 0000000560000284   
0601SGA0d       20090101000200100000005000 0000000620000306   
0601SGA0d       20090101000205100000005000 0000000670000323   
0601SGA0d       20090101000210100000005000 0000000750000353   
0601SGA0d       20090101000215100000005000 0000000810000372   
0601SGA0d       20090101000220100000005000 0000000870000391   
0601SGA0d       20090101000225100000005000 0000000940000413   
0601SGA0d       20090101000230100000005000 0000001000000430   
0601SGA0d       20090101000235100000005000 0000001070000451   
0601SGA0d       20090101000240100000005000 0000001130000466   
0601SGA0d       20090101000245100000005000 0000001200000485   
0601SGA0d       20090101000250100000005000 0000001260000499   
0601SGA0d       20090101000255100000005000 0000001330000517   
0601SGA0d       20090101000260100000005000 0000001390000530   
0601SGA0d       20090101000265100000005000 0000001460000546   
0601SGA0d       20090101000270100000005000 0000001520000558   
0601SGA0d       20090101000275100000005000 0000001590000573   
0601SGA0d       20090101000280100000005000 0000001650000584   
0601SGA0d       20090101000285100000005000 0000001720000598   
0601SGA0d       20090101000290100000005000 0000001800000615   
0601SGA0d       20090101000295100000005000 0000001870000629   
0601SGA0d       20090101000300100000005000 0000001940000641   
0601SGA0d       20090101000305100000005000 0000002020000657   
0601SGA0d       20090101000310100000005000 0000002100000672   
0601SGA0d       20090101000315100000005000 0000002170000683   
0601SGA0d       20090101000320100000005000 0000002250000698   
0601SGA0d       20090101000325100000005000 0000002320000708   
0601SGA0d       20090101000330100000005000 0000002400000722   
0601SGA0d       20090101000335100000005000 0000002480000735   
0601SGA0d       20090101000340100000005000 0000002550000745   
0601SGA0d       20090101000345100000005000 0000002630000757   
0601SGA0d       20090101000350100000005000 0000002700000766   
0601SGA0d       20090101000355100000005000 0000002780000778   
0601SGA0d       20090101000360100000005000 0000002860000789   
0601SGA0d       20090101000365100000005000 0000002930000797   
0601SGA0d       20090101000370100000005000 0000003010000808   
0601SGA0d       20090101000375100000005000 0000003090000819   
0601SGA0d       20090101000380100000005000 0000003160000826   
0601SGA0d       20090101000385100000005000 0000003240000836   
0601SGA0d       20090101000390100000005000 0000003320000846   
0601SGA0d       20090101000395100000005000 0000003400000855   
0601SGA0d       20090101000400100000005000 0000003490000867   
0601SGA0d       20090101000405100000005000 0000003590000881   
0601SGA0d       20090101000410100000005000 0000003680000892   
0601SGA0d       20090101000415100000005000 0000003770000903   
0601SGA0d       20090101000420100000005000 0000003850000911   
0601SGA0d       20090101000425100000005000 0000003940000922   
0601SGA0d       20090101000430100000005000 0000004030000932   
0601SGA0d       20090101000435100000005000 0000004130000944   
0601SGA0d       20090101000440100000005000 0000004220000954   
0601SGA0d       20090101000445100000005000 0000004310000963   
0601SGA0d       20090101000450100000005000 0000004410000975   
0601SGA0d       20090101000455100000005000 0000004500000984   
0601SGA0d       20090101000460100000005000 0000004600000995   
0601SGA0d       20090101000465100000005000 0000004690001003   
0601SGA0d       20090101000470100000005000 0000004780001012   
0601SGA0d       20090101000475100000005000 0000004880001022   
0601SGA0d       20090101000480100000005000 0000004970001030   
0601SGA0d       20090101000485100000005000 0000005070001040   
0601SGA0d       20090101000490100000005000 0000005160001048   
0601SGA0d       20090101000495100000005000 0000005260001057   
0601SGA0d       20090101000500100000005000 0000005350001065   
0601SGA0d       20090101000505100000005000 0000005450001074   
0601SGA0d       20090101000510100000005000 0000005540001081   
0601SGA0d       20090101000515100000005000 0000005630001088   
0601SGA0d       20090101000520100000005000 0000005730001097   
0601SGA0d       20090101000525100000005000 0000005840001107   
0601SGA0d       20090101000530100000005000 0000005930001114   
0601SGA0d       20090101000535100000005000 0000006030001122   
0601SGA0d       20090101000540100000005000 0000006120001128   
0601SGA0d       20090101000545100000005000 0000006220001136   
0601SGA0d       20090101000550100000005000 0000006320001144   
0601SGA0d       20090101000555100000005000 0000006420001152   
0601SGA0d       20090101000560100000005000 0000006530001161   
0601SGA0d       20090101000565100000005000 0000006640001170   
0601SGA0d       20090101000570100000005000 0000006740001177   
0601SGA0d       20090101000575100000005000 0000006850001186   
0601SGA0d       20090101000580100000005000 0000006950001193   
0601SGA0d       20090101000585100000005000 0000007060001202   
0601SGA0d       20090101000590100000005000 0000007160001208   
0601SGA0d       20090101000595100000005000 0000007270001217   
0601SGA0d       20090101000600100000005000 0000007370001223   
0601SGA0d       20090101000605100000005000 0000007480001231   
0601SGA0d       20090101000610100000005000 0000007580001238   
0601SGA0d       20090101000615100000005000 0000007680001244   
0601SGA0d       20090101000620100000005000 0000007780001250   
0601SGA0d       20090101000625100000005000 0000007880001256   
0601SGA0d       20090101000630100000005000 0000007980001262   
0601SGA0d       20090101000635100000005000 0000008080001267   
0601SGA0d       20090101000640100000005000 0000008200001276   
0601SGA0d       20090101000645100000005000 0000008300001282   
0601SGA0d       20090101000650100000005000 0000008400001287   
0601SGA0d       20090101000655100000005000 0000008500001293   
0601SGA0d       20090101000660100000005000 0000008600001298   
0601SGA0d       20090101000665100000005000 0000008700001303   
0601SGA0d       20090101000670100000005000 0000008800001309   
0601SGA0d       20090101000675100000005000 0000008900001314   
0601SGA0d       20090101000680100000005000 0000009000001319   
0601SGA0d       20090101000685100000005000 0000009120001327   
0601SGA0d       20090101000690100000005000 0000009220001331   
0601SGA0d       20090101000695100000005000 0000009320001336   
0601SGA0d       20090101000700100000005000 0000009420001341   
0601SGA0d       20090101000705100000005000 0000009540001348   
0601SGA0d       20090101000710100000005000 0000009640001353   
0601SGA0d       20090101000715100000005000 0000009740001357   
0601SGA0d       20090101000720100000005000 0000009850001363   
0601SGA0d       20090101000725100000005000 0000009960001369   
0601SGA0d       20090101000730100000005000 0000010090001377   
0601SGA0d       20090101000735100000005000 0000010210001384   
0601SGA0d       20090101000740100000005000 0000010320001390   
0601SGA0d       20090101000745100000005000 0000010430001395   
0601SGA0d       20090101000750100000005000 0000010560001403   
0601SGA0d       20090101000755100000005000 0000010680001410   
0601SGA0d       20090101000760100000005000 0000010810001418   
0601SGA0d       20090101000765100000005000 0000010930001424   
0601SGA0d       20090101000770100000005000 0000011050001430   
0601SGA0d       20090101000775100000005000 0000011200001441   
0601SGA0d       20090101000780100000005000 0000011320001447   
0601SGA0d       20090101000785100000005000 0000011450001454   
0601SGA0d       20090101000790100000005000 0000011570001460   
0601SGA0d       20090101000795100000005000 0000011720001470   
0601SGA0d       20090101000800100000005000 0000011840001475   
0601SGA0d       20090101000805100000005000 0000011970001482   
0601SGA0d       20090101000810100000005000 0000012090001488   
0601SGA0d       20090101000815100000005000 0000012220001495   
0601SGA0d       20090101000820100000005000 0000012360001503   
0601SGA0d       20090101000825100000005000 0000012490001509   
0601SGA0d       20090101000830100000005000 0000012610001515   
0601SGA0d       20090101000835100000005000 0000012740001521   
0601SGA0d       20090101000840100000005000 0000012880001529   
0601SGA0d       20090101000845100000005000 0000013010001535   
0601SGA0d       20090101000850100000005000 0000013130001540   
0601SGA0d       20090101000855100000005000 0000013260001546   
0601SGA0d       20090101000860100000005000 0000013380001551   
0601SGA0d       20090101000865100000005000 0000013520001559   
0601SGA0d       20090101000870100000005000 0000013660001566   
0601SGA0d       20090101000875100000005000 0000013780001570   
0601SGA0d       20090101000880100000005000 0000013910001576   
0601SGA0d       20090101000885100000005000 0000014050001583   
0601SGA0d       20090101000890100000005000 0000014180001589   
0601SGA0d       20090101000895100000005000 0000014300001593   
0601SGA0d       20090101000900100000005000 0000014420001598   
0601SGA0d       20090101000905100000005000 0000014550001603   
0601SGA0d       20090101000910100000005000 0000014700001611   
0601SGA0d       20090101000915100000005000 0000014820001615   
0601SGA0d       20090101000920100000005000 0000014940001620   
0601SGA0d       20090101000925100000005000 0000015070001625   
0601SGA0d       20090101000930100000005000 0000015210001631   
0601SGA0d       20090101000935100000005000 0000015340001636   
0601SGA0d       20090101000940100000005000 0000015460001640   
