00SH               20081219                                                                                   
0601SHA0d       20090101000000100000040000 0000000050000250   
0601SHA0d       20090101000040100000005000 0000000050000118   
0601SHA0d       20090101000045100000005000 0000000050000105   
0601SHA0d       20090101000050100000005000 0000000050000095   
0601SHA0d       20090101000055100000005000 0000000080000139   
0601SHA0d       20090101000060100000005000 0000000080000128   
0601SHA0d       20090101000065100000005000 0000000080000119   
0601SHA0d       20090101000070100000005000 0000000080000110   
0601SHA0d       20090101000075100000005000 0000000080000103   
0601SHA0d       20090101000080100000005000 0000000080000097   
0601SHA0d       20090101000085100000005000 0000000080000091   
0601SHA0d       20090101000090100000005000 0000000080000086   
0601SHA0d       20090101000095100000005000 0000000080000082   
0601SHA0d       20090101000100100000005000 0000000080000078   
0601SHA0d       20090101000105100000005000 0000000080000074   
0601SHA0d       20090101000110100000005000 0000000080000071   
0601SHA0d       20090101000115100000005000 0000000100000085   
0601SHA0d       20090101000120100000005000 0000000110000090   
0601SHA0d       20090101000125100000005000 0000000130000102   
0601SHA0d       20090101000130100000005000 0000000150000113   
0601SHA0d       20090101000135100000005000 0000000180000131   
0601SHA0d       20090101000140100000005000 0000000200000140   
0601SHA0d       20090101000145100000005000 0000000230000156   
0601SHA0d       20090101000150100000005000 0000000260000170   
0601SHA0d       20090101000155100000005000 0000000290000184   
0601SHA0d       20090101000160100000005000 0000000330000203   
0601SHA0d       20090101000165100000005000 0000000360000215   
0601SHA0d       20090101000170100000005000 0000000400000232   
0601SHA0d       20090101000175100000005000 0000000440000248   
0601SHA0d       20090101000180100000005000 0000000490000268   
0601SHA0d       20090101000185100000005000 0000000530000283   
0601SHA0d       20090101000190100000005000 0000000580000301   
0601SHA0d       20090101000195100000005000 0000000640000324   
0601SHA0d       20090101000200100000005000 0000000680000336   
0601SHA0d       20090101000205100000005000 0000000730000352   
0601SHA0d       20090101000210100000005000 0000000800000376   
0601SHA0d       20090101000215100000005000 0000000860000395   
0601SHA0d       20090101000220100000005000 0000000920000413   
0601SHA0d       20090101000225100000005000 0000000970000426   
0601SHA0d       20090101000230100000005000 0000001030000443   
0601SHA0d       20090101000235100000005000 0000001090000459   
0601SHA0d       20090101000240100000005000 0000001150000474   
0601SHA0d       20090101000245100000005000 0000001220000493   
0601SHA0d       20090101000250100000005000 0000001280000507   
0601SHA0d       20090101000255100000005000 0000001350000524   
0601SHA0d       20090101000260100000005000 0000001420000541   
0601SHA0d       20090101000265100000005000 0000001470000550   
0601SHA0d       20090101000270100000005000 0000001540000565   
0601SHA0d       20090101000275100000005000 0000001610000580   
0601SHA0d       20090101000280100000005000 0000001670000591   
0601SHA0d       20090101000285100000005000 0000001740000605   
0601SHA0d       20090101000290100000005000 0000001810000619   
0601SHA0d       20090101000295100000005000 0000001870000629   
0601SHA0d       20090101000300100000005000 0000001940000641   
0601SHA0d       20090101000305100000005000 0000002000000650   
0601SHA0d       20090101000310100000005000 0000002080000666   
0601SHA0d       20090101000315100000005000 0000002160000680   
0601SHA0d       20090101000320100000005000 0000002230000691   
0601SHA0d       20090101000325100000005000 0000002310000705   
0601SHA0d       20090101000330100000005000 0000002390000719   
0601SHA0d       20090101000335100000005000 0000002460000729   
0601SHA0d       20090101000340100000005000 0000002540000742   
0601SHA0d       20090101000345100000005000 0000002610000751   
0601SHA0d       20090101000350100000005000 0000002710000769   
0601SHA0d       20090101000355100000005000 0000002790000780   
0601SHA0d       20090101000360100000005000 0000002850000786   
0601SHA0d       20090101000365100000005000 0000002920000795   
0601SHA0d       20090101000370100000005000 0000002990000803   
0601SHA0d       20090101000375100000005000 0000003060000811   
0601SHA0d       20090101000380100000005000 0000003140000821   
0601SHA0d       20090101000385100000005000 0000003220000831   
0601SHA0d       20090101000390100000005000 0000003300000841   
0601SHA0d       20090101000395100000005000 0000003380000850   
0601SHA0d       20090101000400100000005000 0000003450000857   
0601SHA0d       20090101000405100000005000 0000003550000871   
0601SHA0d       20090101000410100000005000 0000003620000878   
0601SHA0d       20090101000415100000005000 0000003700000886   
0601SHA0d       20090101000420100000005000 0000003780000895   
0601SHA0d       20090101000425100000005000 0000003860000903   
0601SHA0d       20090101000430100000005000 0000003940000911   
0601SHA0d       20090101000435100000005000 0000004040000923   
0601SHA0d       20090101000440100000005000 0000004130000933   
0601SHA0d       20090101000445100000005000 0000004210000941   
0601SHA0d       20090101000450100000005000 0000004310000952   
0601SHA0d       20090101000455100000005000 0000004400000962   
0601SHA0d       20090101000460100000005000 0000004510000975   
0601SHA0d       20090101000465100000005000 0000004600000984   
0601SHA0d       20090101000470100000005000 0000004700000995   
0601SHA0d       20090101000475100000005000 0000004790001003   
0601SHA0d       20090101000480100000005000 0000004910001018   
0601SHA0d       20090101000485100000005000 0000005000001026   
0601SHA0d       20090101000490100000005000 0000005100001036   
0601SHA0d       20090101000495100000005000 0000005190001043   
0601SHA0d       20090101000500100000005000 0000005280001051   
0601SHA0d       20090101000505100000005000 0000005400001064   
0601SHA0d       20090101000510100000005000 0000005490001071   
0601SHA0d       20090101000515100000005000 0000005590001080   
0601SHA0d       20090101000520100000005000 0000005680001087   
0601SHA0d       20090101000525100000005000 0000005790001098   
0601SHA0d       20090101000530100000005000 0000005890001106   
0601SHA0d       20090101000535100000005000 0000005980001113   
0601SHA0d       20090101000540100000005000 0000006080001121   
0601SHA0d       20090101000545100000005000 0000006170001127   
0601SHA0d       20090101000550100000005000 0000006280001137   
0601SHA0d       20090101000555100000005000 0000006380001144   
0601SHA0d       20090101000560100000005000 0000006470001150   
0601SHA0d       20090101000565100000005000 0000006580001159   
0601SHA0d       20090101000570100000005000 0000006680001167   
0601SHA0d       20090101000575100000005000 0000006790001176   
0601SHA0d       20090101000580100000005000 0000006890001183   
0601SHA0d       20090101000585100000005000 0000007000001191   
0601SHA0d       20090101000590100000005000 0000007100001198   
0601SHA0d       20090101000595100000005000 0000007210001207   
0601SHA0d       20090101000600100000005000 0000007310001213   
0601SHA0d       20090101000605100000005000 0000007420001221   
0601SHA0d       20090101000610100000005000 0000007520001228   
0601SHA0d       20090101000615100000005000 0000007630001236   
0601SHA0d       20090101000620100000005000 0000007730001242   
0601SHA0d       20090101000625100000005000 0000007840001249   
0601SHA0d       20090101000630100000005000 0000007940001255   
0601SHA0d       20090101000635100000005000 0000008050001263   
0601SHA0d       20090101000640100000005000 0000008170001272   
0601SHA0d       20090101000645100000005000 0000008280001279   
0601SHA0d       20090101000650100000005000 0000008380001284   
0601SHA0d       20090101000655100000005000 0000008490001291   
0601SHA0d       20090101000660100000005000 0000008590001297   
0601SHA0d       20090101000665100000005000 0000008700001303   
