00SZ               20081218                                                                                   
0601SZA0d       20090101000000100000050000 0000000000000000   
0601SZA0d       20090101000050100000005000 0000000000000000   
0601SZA0d       20090101000055100000005000 0000000000000000   
0601SZA0d       20090101000060100000005000 0000000000000000   
0601SZA0d       20090101000065100000005000 0000000000000000   
0601SZA0d       20090101000070100000005000 0000000030000041   
0601SZA0d       20090101000075100000005000 0000000040000052   
0601SZA0d       20090101000080100000005000 0000000050000061   
0601SZA0d       20090101000085100000005000 0000000060000069   
0601SZA0d       20090101000090100000005000 0000000070000076   
0601SZA0d       20090101000095100000005000 0000000080000082   
0601SZA0d       20090101000100100000005000 0000000070000068   
0601SZA0d       20090101000105100000005000 0000000080000074   
0601SZA0d       20090101000110100000005000 0000000100000089   
0601SZA0d       20090101000115100000005000 0000000110000094   
0601SZA0d       20090101000120100000005000 0000000130000106   
0601SZA0d       20090101000125100000005000 0000000140000110   
0601SZA0d       20090101000130100000005000 0000000160000121   
0601SZA0d       20090101000135100000005000 0000000180000131   
0601SZA0d       20090101000140100000005000 0000000200000140   
0601SZA0d       20090101000145100000005000 0000000210000142   
0601SZA0d       20090101000150100000005000 0000000230000151   
0601SZA0d       20090101000155100000005000 0000000250000159   
0601SZA0d       20090101000160100000005000 0000000270000166   
0601SZA0d       20090101000165100000005000 0000000290000173   
0601SZA0d       20090101000170100000005000 0000000310000180   
0601SZA0d       20090101000175100000005000 0000000330000186   
0601SZA0d       20090101000180100000005000 0000000360000197   
0601SZA0d       20090101000185100000005000 0000000380000203   
0601SZA0d       20090101000190100000005000 0000000400000208   
0601SZA0d       20090101000195100000005000 0000000430000218   
0601SZA0d       20090101000200100000005000 0000000460000227   
0601SZA0d       20090101000205100000005000 0000000480000231   
0601SZA0d       20090101000210100000005000 0000000510000240   
0601SZA0d       20090101000215100000005000 0000000530000244   
0601SZA0d       20090101000220100000005000 0000000560000252   
0601SZA0d       20090101000225100000005000 0000000580000255   
0601SZA0d       20090101000230100000005000 0000000610000262   
0601SZA0d       20090101000235100000005000 0000000640000269   
0601SZA0d       20090101000240100000005000 0000000670000276   
0601SZA0d       20090101000245100000005000 0000000690000279   
0601SZA0d       20090101000250100000005000 0000000720000285   
0601SZA0d       20090101000255100000005000 0000000750000291   
0601SZA0d       20090101000260100000005000 0000000770000293   
0601SZA0d       20090101000265100000005000 0000000800000299   
0601SZA0d       20090101000270100000005000 0000000830000305   
0601SZA0d       20090101000275100000005000 0000000860000310   
0601SZA0d       20090101000280100000005000 0000000880000312   
0601SZA0d       20090101000285100000005000 0000000910000317   
0601SZA0d       20090101000290100000005000 0000000950000325   
0601SZA0d       20090101000295100000005000 0000000970000326   
0601SZA0d       20090101000300100000005000 0000001000000331   
0601SZA0d       20090101000305100000005000 0000001030000335   
0601SZA0d       20090101000310100000005000 0000001060000339   
0601SZA0d       20090101000315100000005000 0000001090000343   
0601SZA0d       20090101000320100000005000 0000001130000350   
0601SZA0d       20090101000325100000005000 0000001170000357   
0601SZA0d       20090101000330100000005000 0000001200000361   
0601SZA0d       20090101000335100000005000 0000001240000367   
0601SZA0d       20090101000340100000005000 0000001270000371   
0601SZA0d       20090101000345100000005000 0000001310000377   
0601SZA0d       20090101000350100000005000 0000001350000383   
0601SZA0d       20090101000355100000005000 0000001390000389   
0601SZA0d       20090101000360100000005000 0000001430000394   
0601SZA0d       20090101000365100000005000 0000001460000397   
0601SZA0d       20090101000370100000005000 0000001500000403   
0601SZA0d       20090101000375100000005000 0000001540000408   
0601SZA0d       20090101000380100000005000 0000001590000416   
0601SZA0d       20090101000385100000005000 0000001630000421   
0601SZA0d       20090101000390100000005000 0000001660000423   
0601SZA0d       20090101000395100000005000 0000001710000430   
0601SZA0d       20090101000400100000005000 0000001750000435   
0601SZA0d       20090101000405100000005000 0000001790000439   
0601SZA0d       20090101000410100000005000 0000001830000444   
0601SZA0d       20090101000415100000005000 0000001880000450   
0601SZA0d       20090101000420100000005000 0000001920000454   
0601SZA0d       20090101000425100000005000 0000001950000456   
0601SZA0d       20090101000430100000005000 0000002010000465   
0601SZA0d       20090101000435100000005000 0000002060000471   
0601SZA0d       20090101000440100000005000 0000002110000477   
