00TG               20081204                                                                                   
0601TGA0+       20090101000000100000120000 0000000000000034   
0601TGA0+       20090101000120100000005000 0000000040000033   
0601TGA0+       20090101000125100000005000 0000000040000031   
0601TGA0+       20090101000130100000005000 0000000040000030   
0601TGA0+       20090101000135100000005000 0000000040000029   
0601TGA0+       20090101000140100000005000 0000000040000028   
0601TGA0+       20090101000145100000005000 0000000040000027   
0601TGA0+       20090101000150100000005000 0000000040000026   
0601TGA0+       20090101000155100000005000 0000000040000025   
0601TGA0+       20090101000160100000005000 0000000040000025   
0601TGA0+       20090101000165100000005000 0000000040000024   
0601TGA0+       20090101000170100000005000 0000000040000023   
0601TGA0+       20090101000175100000005000 0000000040000023   
0601TGA0+       20090101000180100000005000 0000000180000099   
0601TGA0+       20090101000185100000005000 0000000210000112   
0601TGA0+       20090101000190100000005000 0000000250000130   
0601TGA0+       20090101000195100000005000 0000000290000147   
0601TGA0+       20090101000200100000005000 0000000340000168   
0601TGA0+       20090101000205100000005000 0000000390000188   
0601TGA0+       20090101000210100000005000 0000000460000216   
0601TGA0+       20090101000215100000005000 0000000520000239   
0601TGA0+       20090101000220100000005000 0000000580000261   
0601TGA0+       20090101000225100000005000 0000000650000286   
0601TGA0+       20090101000230100000005000 0000000710000305   
0601TGA0+       20090101000235100000005000 0000000780000328   
0601TGA0+       20090101000240100000005000 0000000850000351   
0601TGA0+       20090101000245100000005000 0000000930000376   
0601TGA0+       20090101000250100000005000 0000001020000404   
0601TGA0+       20090101000255100000005000 0000001100000427   
0601TGA0+       20090101000260100000005000 0000001190000453   
0601TGA0+       20090101000265100000005000 0000001270000475   
0601TGA0+       20090101000270100000005000 0000001360000499   
0601TGA0+       20090101000275100000005000 0000001440000519   
0601TGA0+       20090101000280100000005000 0000001530000542   
0601TGA0+       20090101000285100000005000 0000001610000560   
0601TGA0+       20090101000290100000005000 0000001710000585   
0601TGA0+       20090101000295100000005000 0000001800000605   
0601TGA0+       20090101000300100000005000 0000001880000621   
0601TGA0+       20090101000305100000005000 0000001960000637   
0601TGA0+       20090101000310100000005000 0000002050000656   
0601TGA0+       20090101000315100000005000 0000002130000671   
0601TGA0+       20090101000320100000005000 0000002230000691   
0601TGA0+       20090101000325100000005000 0000002320000708   
0601TGA0+       20090101000330100000005000 0000002420000728   
0601TGA0+       20090101000335100000005000 0000002520000747   
0601TGA0+       20090101000340100000005000 0000002620000765   
0601TGA0+       20090101000345100000005000 0000002720000783   
0601TGA0+       20090101000350100000005000 0000002820000800   
0601TGA0+       20090101000355100000005000 0000002910000814   
0601TGA0+       20090101000360100000005000 0000003010000830   
0601TGA0+       20090101000365100000005000 0000003110000846   
0601TGA0+       20090101000370100000005000 0000003210000862   
0601TGA0+       20090101000375100000005000 0000003310000877   
0601TGA0+       20090101000380100000005000 0000003410000892   
0601TGA0+       20090101000385100000005000 0000003500000903   
0601TGA0+       20090101000390100000005000 0000003600000917   
0601TGA0+       20090101000395100000005000 0000003700000931   
0601TGA0+       20090101000400100000005000 0000003800000944   
0601TGA0+       20090101000405100000005000 0000003920000962   
0601TGA0+       20090101000410100000005000 0000004020000975   
0601TGA0+       20090101000415100000005000 0000004110000984   
0601TGA0+       20090101000420100000005000 0000004210000996   
0601TGA0+       20090101000425100000005000 0000004310001008   
0601TGA0+       20090101000430100000005000 0000004420001022   
0601TGA0+       20090101000435100000005000 0000004520001033   
0601TGA0+       20090101000440100000005000 0000004630001046   
0601TGA0+       20090101000445100000005000 0000004730001057   
0601TGA0+       20090101000450100000005000 0000004840001070   
0601TGA0+       20090101000455100000005000 0000004940001080   
0601TGA0+       20090101000460100000005000 0000005050001092   
0601TGA0+       20090101000465100000005000 0000005160001104   
0601TGA0+       20090101000470100000005000 0000005260001113   
0601TGA0+       20090101000475100000005000 0000005370001125   
0601TGA0+       20090101000480100000005000 0000005480001136   
0601TGA0+       20090101000485100000005000 0000005580001145   
0601TGA0+       20090101000490100000005000 0000005690001155   
0601TGA0+       20090101000495100000005000 0000005790001164   
0601TGA0+       20090101000500100000005000 0000005900001174   
0601TGA0+       20090101000505100000005000 0000006010001184   
0601TGA0+       20090101000510100000005000 0000006110001192   
0601TGA0+       20090101000515100000005000 0000006220001202   
0601TGA0+       20090101000520100000005000 0000006320001210   
0601TGA0+       20090101000525100000005000 0000006450001223   
0601TGA0+       20090101000530100000005000 0000006540001228   
0601TGA0+       20090101000535100000005000 0000006640001235   
0601TGA0+       20090101000540100000005000 0000006750001244   
0601TGA0+       20090101000545100000005000 0000006860001253   
0601TGA0+       20090101000550100000005000 0000006960001260   
0601TGA0+       20090101000555100000005000 0000007070001268   
0601TGA0+       20090101000560100000005000 0000007180001276   
0601TGA0+       20090101000565100000005000 0000007260001279   
0601TGA0+       20090101000570100000005000 0000007370001287   
0601TGA0+       20090101000575100000005000 0000007480001295   
0601TGA0+       20090101000580100000005000 0000007580001301   
0601TGA0+       20090101000585100000005000 0000007690001309   
0601TGA0+       20090101000590100000005000 0000007800001316   
0601TGA0+       20090101000595100000005000 0000007900001322   
0601TGA0+       20090101000600100000005000 0000007990001326   
0601TGA0+       20090101000605100000005000 0000008090001332   
0601TGA0+       20090101000610100000005000 0000008190001337   
0601TGA0+       20090101000615100000005000 0000008290001343   
0601TGA0+       20090101000620100000005000 0000008400001349   
0601TGA0+       20090101000625100000005000 0000008500001355   
0601TGA0+       20090101000630100000005000 0000008600001360   
0601TGA0+       20090101000635100000005000 0000008700001365   
0601TGA0+       20090101000640100000005000 0000008790001368   
0601TGA0+       20090101000645100000005000 0000008900001375   
0601TGA0+       20090101000650100000005000 0000009010001381   
0601TGA0+       20090101000655100000005000 0000009120001387   
0601TGA0+       20090101000660100000005000 0000009230001393   
0601TGA0+       20090101000665100000005000 0000009340001399   
0601TGA0+       20090101000670100000005000 0000009450001405   
0601TGA0+       20090101000675100000005000 0000009540001408   
0601TGA0+       20090101000680100000005000 0000009650001414   
0601TGA0+       20090101000685100000005000 0000009760001420   
0601TGA0+       20090101000690100000005000 0000009870001425   
0601TGA0+       20090101000695100000005000 0000009980001431   
0601TGA0+       20090101000700100000005000 0000010080001435   
0601TGA0+       20090101000705100000005000 0000010190001440   
0601TGA0+       20090101000710100000005000 0000010280001443   
0601TGA0+       20090101000715100000005000 0000010390001448   
0601TGA0+       20090101000720100000005000 0000010510001455   
0601TGA0+       20090101000725100000005000 0000010640001463   
0601TGA0+       20090101000730100000005000 0000010760001469   
0601TGA0+       20090101000735100000005000 0000010880001475   
0601TGA0+       20090101000740100000005000 0000011000001481   
0601TGA0+       20090101000745100000005000 0000011120001488   
0601TGA0+       20090101000750100000005000 0000011230001492   
0601TGA0+       20090101000755100000005000 0000011350001498   
0601TGA0+       20090101000760100000005000 0000011470001504   
0601TGA0+       20090101000765100000005000 0000011600001511   
0601TGA0+       20090101000770100000005000 0000011720001517   
0601TGA0+       20090101000775100000005000 0000011840001523   
0601TGA0+       20090101000780100000005000 0000011970001530   
0601TGA0+       20090101000785100000005000 0000012070001533   
0601TGA0+       20090101000790100000005000 0000012200001539   
0601TGA0+       20090101000795100000005000 0000012320001545   
0601TGA0+       20090101000800100000005000 0000012450001551   
0601TGA0+       20090101000805100000005000 0000012570001557   
0601TGA0+       20090101000810100000005000 0000012690001562   
0601TGA0+       20090101000815100000005000 0000012820001568   
0601TGA0+       20090101000820100000005000 0000012920001571   
0601TGA0+       20090101000825100000005000 0000013050001577   
0601TGA0+       20090101000830100000005000 0000013170001582   
0601TGA0+       20090101000835100000005000 0000013300001588   
0601TGA0+       20090101000840100000005000 0000013420001593   
0601TGA0+       20090101000845100000005000 0000013550001599   
0601TGA0+       20090101000850100000005000 0000013670001604   
0601TGA0+       20090101000855100000005000 0000013790001608   
0601TGA0+       20090101000860100000005000 0000013900001612   
0601TGA0+       20090101000865100000005000 0000014020001616   
0601TGA0+       20090101000870100000005000 0000014170001624   
0601TGA0+       20090101000875100000005000 0000014300001630   
0601TGA0+       20090101000880100000005000 0000014420001634   
0601TGA0+       20090101000885100000005000 0000014550001639   
0601TGA0+       20090101000890100000005000 0000014670001644   
0601TGA0+       20090101000895100000005000 0000014790001648   
0601TGA0+       20090101000900100000005000 0000014920001653   
0601TGA0+       20090101000905100000005000 0000015040001657   
0601TGA0+       20090101000910100000005000 0000015170001662   
0601TGA0+       20090101000915100000005000 0000015290001666   
0601TGA0+       20090101000920100000005000 0000015420001672   
0601TGA0+       20090101000925100000005000 0000015540001675   
0601TGA0+       20090101000930100000005000 0000015670001680   
0601TGA0+       20090101000935100000005000 0000015790001684   
0601TGA0+       20090101000940100000005000 0000015910001688   
0601TGA0+       20090101000945100000005000 0000016040001693   
0601TGA0+       20090101000950100000005000 0000016160001697   
0601TGA0+       20090101000955100000005000 0000016290001701   
0601TGA0+       20090101000960100000005000 0000016410001705   
0601TGA0+       20090101000965100000005000 0000016540001710   
0601TGA0+       20090101000970100000005000 0000016660001713   
0601TGA0+       20090101000975100000005000 0000016780001717   
0601TGA0+       20090101000980100000005000 0000016910001721   
0601TGA0+       20090101000985100000005000 0000017030001725   
0601TGA0+       20090101000990100000005000 0000017180001731   
0601TGA0+       20090101000995100000005000 0000017310001735   
0601TGA0+       20090101001000100000005000 0000017440001740   
0601TGA0+       20090101001005100000005000 0000017570001744   
0601TGA0+       20090101001010100000005000 0000017710001749   
0601TGA0+       20090101001015100000005000 0000017850001754   
0601TGA0+       20090101001020100000005000 0000017990001759   
0601TGA0+       20090101001025100000005000 0000018130001764   
0601TGA0+       20090101001030100000005000 0000018270001769   
0601TGA0+       20090101001035100000005000 0000018410001774   
0601TGA0+       20090101001040100000005000 0000018550001779   
0601TGA0+       20090101001045100000005000 0000018690001784   
0601TGA0+       20090101001050100000005000 0000018830001789   
0601TGA0+       20090101001055100000005000 0000018970001794   
0601TGA0+       20090101001060100000005000 0000019140001801   
0601TGA0+       20090101001065100000005000 0000019280001806   
0601TGA0+       20090101001070100000005000 0000019420001811   
0601TGA0+       20090101001075100000005000 0000019590001818   
0601TGA0+       20090101001080100000005000 0000019730001823   
0601TGA0+       20090101001085100000005000 0000019890001829   
0601TGA0+       20090101001090100000005000 0000020030001833   
0601TGA0+       20090101001095100000005000 0000020170001838   
0601TGA0+       20090101001100100000005000 0000020340001845   
0601TGA0+       20090101001105100000005000 0000020480001849   
0601TGA0+       20090101001110100000005000 0000020620001853   
0601TGA0+       20090101001115100000005000 0000020790001860   
0601TGA0+       20090101001120100000005000 0000020930001865   
0601TGA0+       20090101001125100000005000 0000021100001871   
0601TGA0+       20090101001130100000005000 0000021240001875   
0601TGA0+       20090101001135100000005000 0000021380001880   
0601TGA0+       20090101001140100000005000 0000021550001886   
0601TGA0+       20090101001145100000005000 0000021690001890   
0601TGA0+       20090101001150100000005000 0000021830001894   
0601TGA0+       20090101001155100000005000 0000021990001900   
0601TGA0+       20090101001160100000005000 0000022130001904   
0601TGA0+       20090101001165100000005000 0000022270001907   
0601TGA0+       20090101001170100000005000 0000022440001914   
0601TGA0+       20090101001175100000005000 0000022580001918   
0601TGA0+       20090101001180100000005000 0000022750001924   
0601TGA0+       20090101001185100000005000 0000022890001928   
0601TGA0+       20090101001190100000005000 0000023030001931   
0601TGA0+       20090101001195100000005000 0000023200001937   
0601TGA0+       20090101001200100000005000 0000023340001941   
0601TGA0+       20090101001205100000005000 0000023480001945   
0601TGA0+       20090101001210100000005000 0000023650001951   
0601TGA0+       20090101001215100000005000 0000023790001954   
0601TGA0+       20090101001220100000005000 0000023930001957   
0601TGA0+       20090101001225100000005000 0000024090001963   
0601TGA0+       20090101001230100000005000 0000024230001966   
0601TGA0+       20090101001235100000005000 0000024400001972   
0601TGA0+       20090101001240100000005000 0000024540001975   
0601TGA0+       20090101001245100000005000 0000024680001978   
0601TGA0+       20090101001250100000005000 0000024850001984   
0601TGA0+       20090101001255100000005000 0000024990001987   
0601TGA0+       20090101001260100000005000 0000025130001990   
0601TGA0+       20090101001265100000005000 0000025300001996   
0601TGA0+       20090101001270100000005000 0000025440001999   
0601TGA0+       20090101001275100000005000 0000025610002005   
0601TGA0+       20090101001280100000005000 0000025750002008   
0601TGA0+       20090101001285100000005000 0000025890002011   
0601TGA0+       20090101001290100000005000 0000026070002017   
0601TGA0+       20090101001295100000005000 0000026220002021   
0601TGA0+       20090101001300100000005000 0000026370002025   
0601TGA0+       20090101001305100000005000 0000026550002031   
0601TGA0+       20090101001310100000005000 0000026690002034   
0601TGA0+       20090101001315100000005000 0000026840002037   
0601TGA0+       20090101001320100000005000 0000027020002043   
0601TGA0+       20090101001325100000005000 0000027170002047   
0601TGA0+       20090101001330100000005000 0000027360002053   
0601TGA0+       20090101001335100000005000 0000027520002058   
0601TGA0+       20090101001340100000005000 0000027670002061   
0601TGA0+       20090101001345100000005000 0000027860002068   
0601TGA0+       20090101001350100000005000 0000028010002071   
0601TGA0+       20090101001355100000005000 0000028170002075   
0601TGA0+       20090101001360100000005000 0000028360002081   
0601TGA0+       20090101001365100000005000 0000028510002085   
0601TGA0+       20090101001370100000005000 0000028700002091   
0601TGA0+       20090101001375100000005000 0000028860002095   
0601TGA0+       20090101001380100000005000 0000029010002098   
0601TGA0+       20090101001385100000005000 0000029200002105   
0601TGA0+       20090101001390100000005000 0000029350002108   
0601TGA0+       20090101001395100000005000 0000029510002112   
0601TGA0+       20090101001400100000005000 0000029700002118   
0601TGA0+       20090101001405100000005000 0000029850002121   
0601TGA0+       20090101001410100000005000 0000030010002125   
0601TGA0+       20090101001415100000005000 0000030190002130   
0601TGA0+       20090101001420100000005000 0000030350002134   
0601TGA0+       20090101001425100000005000 0000030540002139   
0601TGA0+       20090101001430100000005000 0000030690002142   
0601TGA0+       20090101001435100000005000 0000030850002146   
0601TGA0+       20090101001440100000005000 0000031030002151   
0601TGA0+       20090101001445100000005000 0000031190002155   
0601TGA0+       20090101001450100000005000 0000031350002158   
0601TGA0+       20090101001455100000005000 0000031530002163   
0601TGA0+       20090101001460100000005000 0000031690002167   
0601TGA0+       20090101001465100000005000 0000031840002170   
