00TI               20081223                                                                                   
0601TIA0d       20090101000000100000025000 0000000000000000   
0601TIA0d       20090101000025100000005000 0000000000000000   
0601TIA0d       20090101000030100000005000 0000000000000000   
0601TIA0d       20090101000035100000005000 0000000000000000   
0601TIA0d       20090101000040100000005000 0000000000000000   
0601TIA0d       20090101000045100000005000 0000000000000000   
0601TIA0d       20090101000050100000005000 0000000000000000   
0601TIA0d       20090101000055100000005000 0000000000000000   
0601TIA0d       20090101000060100000005000 0000000000000000   
0601TIA0d       20090101000065100000005000 0000000000000000   
0601TIA0d       20090101000070100000005000 0000000000000000   
0601TIA0d       20090101000075100000005000 0000000000000000   
0601TIA0d       20090101000080100000005000 0000000000000000   
0601TIA0d       20090101000085100000005000 0000000000000000   
0601TIA0d       20090101000090100000005000 0000000000000000   
0601TIA0d       20090101000095100000005000 0000000000000000   
0601TIA0d       20090101000100100000005000 0000000000000000   
0601TIA0d       20090101000105100000005000 0000000000000000   
0601TIA0d       20090101000110100000005000 0000000000000000   
0601TIA0d       20090101000115100000005000 0000000000000000   
0601TIA0d       20090101000120100000005000 0000000000000000   
0601TIA0d       20090101000125100000005000 0000000000000000   
0601TIA0d       20090101000130100000005000 0000000000000000   
0601TIA0d       20090101000135100000005000 0000000000000000   
0601TIA0d       20090101000140100000005000 0000000000000000   
0601TIA0d       20090101000145100000005000 0000000000000000   
0601TIA0d       20090101000150100000005000 0000000000000000   
0601TIA0d       20090101000155100000005000 0000000000000000   
0601TIA0d       20090101000160100000005000 0000000000000020   
0601TIA0d       20090101000165100000005000 0000000000000040   
0601TIA0d       20090101000170100000005000 0000000000000070   
0601TIA0d       20090101000175100000005000 0000000000000090   
0601TIA0d       20090101000180100000005000 0000000000000110   
0601TIA0d       20090101000185100000005000 0000000000000130   
0601TIA0d       20090101000190100000005000 0000000000000140   
0601TIA0d       20090101000195100000005000 0000000000000160   
0601TIA0d       20090101000200100000005000 0000000000000180   
0601TIA0d       20090101000205100000005000 0000000000000190   
0601TIA0d       20090101000210100000005000 0000000000000220   
0601TIA0d       20090101000215100000005000 0000000000000240   
0601TIA0d       20090101000220100000005000 0000000000000250   
0601TIA0d       20090101000225100000005000 0000000000000270   
0601TIA0d       20090101000230100000005000 0000000000000280   
0601TIA0d       20090101000235100000005000 0000000000000300   
0601TIA0d       20090101000240100000005000 0000000000000310   
0601TIA0d       20090101000245100000005000 0000000000000320   
0601TIA0d       20090101000250100000005000 0000000000000330   
0601TIA0d       20090101000255100000005000 0000000000000330   
0601TIA0d       20090101000260100000005000 0000000000000340   
0601TIA0d       20090101000265100000005000 0000000000000340   
0601TIA0d       20090101000270100000005000 0000000000000350   
0601TIA0d       20090101000275100000005000 0000000000000360   
0601TIA0d       20090101000280100000005000 0000000000000360   
0601TIA0d       20090101000285100000005000 0000000000000370   
0601TIA0d       20090101000290100000005000 0000000000000380   
0601TIA0d       20090101000295100000005000 0000000000000390   
0601TIA0d       20090101000300100000005000 0000000000000410   
0601TIA0d       20090101000305100000005000 0000000000000420   
0601TIA0d       20090101000310100000005000 0000000000000440   
0601TIA0d       20090101000315100000005000 0000000000000450   
0601TIA0d       20090101000320100000005000 0000000000000460   
0601TIA0d       20090101000325100000005000 0000000000000470   
0601TIA0d       20090101000330100000005000 0000000000000490   
0601TIA0d       20090101000335100000005000 0000000000000500   
0601TIA0d       20090101000340100000005000 0000000000000520   
0601TIA0d       20090101000345100000005000 0000000000000530   
0601TIA0d       20090101000350100000005000 0000000000000550   
0601TIA0d       20090101000355100000005000 0000000000000560   
0601TIA0d       20090101000360100000005000 0000000000000570   
0601TIA0d       20090101000365100000005000 0000000000000590   
0601TIA0d       20090101000370100000005000 0000000000000600   
0601TIA0d       20090101000375100000005000 0000000000000610   
0601TIA0d       20090101000380100000005000 0000000000000630   
0601TIA0d       20090101000385100000005000 0000000000000640   
0601TIA0d       20090101000390100000005000 0000000000000650   
0601TIA0d       20090101000395100000005000 0000000000000660   
0601TIA0d       20090101000400100000005000 0000000000000670   
0601TIA0d       20090101000405100000005000 0000000000000680   
0601TIA0d       20090101000410100000005000 0000000000000690   
0601TIA0d       20090101000415100000005000 0000000000000700   
0601TIA0d       20090101000420100000005000 0000000000000710   
0601TIA0d       20090101000425100000005000 0000000000000720   
0601TIA0d       20090101000430100000005000 0000000000000740   
0601TIA0d       20090101000435100000005000 0000000000000750   
0601TIA0d       20090101000440100000005000 0000000000000760   
