00UR               20081210                                                                                   
0601URA0d       20090101000000100000005000 0000000060002400   
0601URA0d       20090101000005100000005000 0000000060000800   
0601URA0d       20090101000010100000005000 0000000060000480   
0601URA0d       20090101000015100000005000 0000000060000343   
0601URA0d       20090101000020100000005000 0000000060000267   
0601URA0d       20090101000025100000005000 0000000060000218   
0601URA0d       20090101000030100000005000 0000000060000185   
0601URA0d       20090101000035100000005000 0000000060000160   
0601URA0d       20090101000040100000005000 0000000060000141   
0601URA0d       20090101000045100000005000 0000000060000126   
0601URA0d       20090101000050100000005000 0000000060000114   
0601URA0d       20090101000055100000005000 0000000060000104   
0601URA0d       20090101000060100000005000 0000000060000096   
0601URA0d       20090101000065100000005000 0000000060000089   
0601URA0d       20090101000070100000005000 0000000060000083   
0601URA0d       20090101000075100000005000 0000000060000077   
0601URA0d       20090101000080100000005000 0000000060000073   
0601URA0d       20090101000085100000005000 0000000060000069   
0601URA0d       20090101000090100000005000 0000000060000065   
0601URA0d       20090101000095100000005000 0000000060000062   
0601URA0d       20090101000100100000005000 0000000060000059   
0601URA0d       20090101000105100000005000 0000000060000056   
0601URA0d       20090101000110100000005000 0000000060000053   
0601URA0d       20090101000115100000005000 0000000060000051   
0601URA0d       20090101000120100000005000 0000000060000049   
0601URA0d       20090101000125100000005000 0000000060000047   
0601URA0d       20090101000130100000005000 0000000060000045   
0601URA0d       20090101000135100000005000 0000000060000044   
0601URA0d       20090101000140100000005000 0000000060000042   
0601URA0d       20090101000145100000005000 0000000060000041   
0601URA0d       20090101000150100000005000 0000000060000039   
0601URA0d       20090101000155100000005000 0000000060000038   
0601URA0d       20090101000160100000005000 0000000060000037   
0601URA0d       20090101000165100000005000 0000000060000036   
0601URA0d       20090101000170100000005000 0000000060000035   
0601URA0d       20090101000175100000005000 0000000060000034   
0601URA0d       20090101000180100000005000 0000000060000033   
0601URA0d       20090101000185100000005000 0000000060000032   
0601URA0d       20090101000190100000005000 0000000060000031   
0601URA0d       20090101000195100000005000 0000000070000035   
0601URA0d       20090101000200100000005000 0000000130000064   
0601URA0d       20090101000205100000005000 0000000190000092   
0601URA0d       20090101000210100000005000 0000000280000132   
0601URA0d       20090101000215100000005000 0000000360000166   
0601URA0d       20090101000220100000005000 0000000420000189   
0601URA0d       20090101000225100000005000 0000000480000211   
0601URA0d       20090101000230100000005000 0000000550000237   
0601URA0d       20090101000235100000005000 0000000630000265   
0601URA0d       20090101000240100000005000 0000000690000285   
0601URA0d       20090101000245100000005000 0000000760000307   
0601URA0d       20090101000250100000005000 0000000820000325   
0601URA0d       20090101000255100000005000 0000000880000342   
0601URA0d       20090101000260100000005000 0000000960000366   
0601URA0d       20090101000265100000005000 0000001030000385   
0601URA0d       20090101000270100000005000 0000001090000400   
0601URA0d       20090101000275100000005000 0000001160000418   
0601URA0d       20090101000280100000005000 0000001230000435   
0601URA0d       20090101000285100000005000 0000001300000452   
0601URA0d       20090101000290100000005000 0000001360000465   
0601URA0d       20090101000295100000005000 0000001430000481   
0601URA0d       20090101000300100000005000 0000001490000493   
0601URA0d       20090101000305100000005000 0000001570000511   
0601URA0d       20090101000310100000005000 0000001630000522   
0601URA0d       20090101000315100000005000 0000001700000535   
0601URA0d       20090101000320100000005000 0000001760000546   
0601URA0d       20090101000325100000005000 0000001840000562   
0601URA0d       20090101000330100000005000 0000001910000574   
0601URA0d       20090101000335100000005000 0000001970000584   
0601URA0d       20090101000340100000005000 0000002040000596   
0601URA0d       20090101000345100000005000 0000002100000604   
0601URA0d       20090101000350100000005000 0000002180000618   
0601URA0d       20090101000355100000005000 0000002240000627   
0601URA0d       20090101000360100000005000 0000002310000637   
0601URA0d       20090101000365100000005000 0000002370000645   
0601URA0d       20090101000370100000005000 0000002450000658   
0601URA0d       20090101000375100000005000 0000002520000668   
0601URA0d       20090101000380100000005000 0000002580000675   
0601URA0d       20090101000385100000005000 0000002650000684   
0601URA0d       20090101000390100000005000 0000002720000693   
0601URA0d       20090101000395100000005000 0000002790000702   
0601URA0d       20090101000400100000005000 0000002850000708   
0601URA0d       20090101000405100000005000 0000002920000717   
0601URA0d       20090101000410100000005000 0000002990000725   
0601URA0d       20090101000415100000005000 0000003060000733   
0601URA0d       20090101000420100000005000 0000003130000741   
0601URA0d       20090101000425100000005000 0000003190000746   
0601URA0d       20090101000430100000005000 0000003260000754   
0601URA0d       20090101000435100000005000 0000003350000766   
0601URA0d       20090101000440100000005000 0000003420000773   
0601URA0d       20090101000445100000005000 0000003490000780   
0601URA0d       20090101000450100000005000 0000003570000789   
0601URA0d       20090101000455100000005000 0000003640000796   
0601URA0d       20090101000460100000005000 0000003720000804   
0601URA0d       20090101000465100000005000 0000003800000813   
0601URA0d       20090101000470100000005000 0000003870000819   
0601URA0d       20090101000475100000005000 0000003940000825   
0601URA0d       20090101000480100000005000 0000004030000835   
0601URA0d       20090101000485100000005000 0000004100000841   
0601URA0d       20090101000490100000005000 0000004170000847   
0601URA0d       20090101000495100000005000 0000004250000854   
0601URA0d       20090101000500100000005000 0000004320000860   
0601URA0d       20090101000505100000005000 0000004410000869   
0601URA0d       20090101000510100000005000 0000004480000874   
0601URA0d       20090101000515100000005000 0000004550000879   
0601URA0d       20090101000520100000005000 0000004620000884   
0601URA0d       20090101000525100000005000 0000004710000893   
0601URA0d       20090101000530100000005000 0000004780000898   
0601URA0d       20090101000535100000005000 0000004860000904   
0601URA0d       20090101000540100000005000 0000004930000909   
0601URA0d       20090101000545100000005000 0000005000000913   
0601URA0d       20090101000550100000005000 0000005080000919   
0601URA0d       20090101000555100000005000 0000005160000926   
0601URA0d       20090101000560100000005000 0000005230000930   
0601URA0d       20090101000565100000005000 0000005310000936   
0601URA0d       20090101000570100000005000 0000005390000941   
0601URA0d       20090101000575100000005000 0000005470000947   
0601URA0d       20090101000580100000005000 0000005540000951   
0601URA0d       20090101000585100000005000 0000005610000955   
0601URA0d       20090101000590100000005000 0000005690000960   
0601URA0d       20090101000595100000005000 0000005770000966   
0601URA0d       20090101000600100000005000 0000005850000971   
0601URA0d       20090101000605100000005000 0000005920000974   
0601URA0d       20090101000610100000005000 0000006000000980   
0601URA0d       20090101000615100000005000 0000006080000985   
0601URA0d       20090101000620100000005000 0000006160000990   
0601URA0d       20090101000625100000005000 0000006230000993   
0601URA0d       20090101000630100000005000 0000006300000996   
0601URA0d       20090101000635100000005000 0000006380001001   
0601URA0d       20090101000640100000005000 0000006460001005   
0601URA0d       20090101000645100000005000 0000006540001010   
0601URA0d       20090101000650100000005000 0000006610001013   
0601URA0d       20090101000655100000005000 0000006690001017   
0601URA0d       20090101000660100000005000 0000006760001020   
0601URA0d       20090101000665100000005000 0000006830001023   
0601URA0d       20090101000670100000005000 0000006910001028   
0601URA0d       20090101000675100000005000 0000006980001030   
0601URA0d       20090101000680100000005000 0000007060001034   
0601URA0d       20090101000685100000005000 0000007130001037   
0601URA0d       20090101000690100000005000 0000007200001040   
0601URA0d       20090101000695100000005000 0000007280001044   
0601URA0d       20090101000700100000005000 0000007350001046   
0601URA0d       20090101000705100000005000 0000007430001050   
0601URA0d       20090101000710100000005000 0000007500001053   
0601URA0d       20090101000715100000005000 0000007590001058   
0601URA0d       20090101000720100000005000 0000007670001062   
0601URA0d       20090101000725100000005000 0000007760001067   
0601URA0d       20090101000730100000005000 0000007840001070   
0601URA0d       20090101000735100000005000 0000007930001075   
0601URA0d       20090101000740100000005000 0000008020001080   
0601URA0d       20090101000745100000005000 0000008100001084   
0601URA0d       20090101000750100000005000 0000008190001088   
0601URA0d       20090101000755100000005000 0000008280001093   
0601URA0d       20090101000760100000005000 0000008370001098   
0601URA0d       20090101000765100000005000 0000008450001101   
0601URA0d       20090101000770100000005000 0000008540001106   
0601URA0d       20090101000775100000005000 0000008630001110   
0601URA0d       20090101000780100000005000 0000008720001114   
0601URA0d       20090101000785100000005000 0000008810001119   
0601URA0d       20090101000790100000005000 0000008910001124   
0601URA0d       20090101000795100000005000 0000009000001129   
0601URA0d       20090101000800100000005000 0000009090001133   
0601URA0d       20090101000805100000005000 0000009180001137   
0601URA0d       20090101000810100000005000 0000009260001140   
0601URA0d       20090101000815100000005000 0000009350001144   
0601URA0d       20090101000820100000005000 0000009440001148   
0601URA0d       20090101000825100000005000 0000009530001152   
0601URA0d       20090101000830100000005000 0000009620001156   
