00ZG               20081202                                                                                   
0601ZGA0d       20090101000000100000005000 0000000000000000   
0601ZGA0d       20090101000005100000005000 0000000000000000   
0601ZGA0d       20090101000010100000005000 0000000000000000   
0601ZGA0d       20090101000015100000005000 0000000000000000   
0601ZGA0d       20090101000020100000005000 0000000000000000   
0601ZGA0d       20090101000025100000005000 0000000000000000   
0601ZGA0d       20090101000030100000005000 0000000000000000   
0601ZGA0d       20090101000035100000005000 0000000000000000   
0601ZGA0d       20090101000040100000005000 0000000000000000   
0601ZGA0d       20090101000045100000005000 0000000000000000   
0601ZGA0d       20090101000050100000005000 0000000000000000   
0601ZGA0d       20090101000055100000005000 0000000000000000   
0601ZGA0d       20090101000060100000005000 0000000000000000   
0601ZGA0d       20090101000065100000005000 0000000000000000   
0601ZGA0d       20090101000070100000005000 0000000000000000   
0601ZGA0d       20090101000075100000005000 0000000000000000   
0601ZGA0d       20090101000080100000005000 0000000000000000   
0601ZGA0d       20090101000085100000005000 0000000000000000   
0601ZGA0d       20090101000090100000005000 0000000000000000   
0601ZGA0d       20090101000095100000005000 0000000000000000   
0601ZGA0d       20090101000100100000005000 0000000000000000   
0601ZGA0d       20090101000105100000005000 0000000000000000   
0601ZGA0d       20090101000110100000005000 0000000000000000   
0601ZGA0d       20090101000115100000005000 0000000000000000   
0601ZGA0d       20090101000120100000005000 0000000000000000   
0601ZGA0d       20090101000125100000005000 0000000000000000   
0601ZGA0d       20090101000130100000005000 0000000000000000   
0601ZGA0d       20090101000135100000005000 0000000010000007   
0601ZGA0d       20090101000140100000005000 0000000010000007   
0601ZGA0d       20090101000145100000005000 0000000020000014   
0601ZGA0d       20090101000150100000005000 0000000020000013   
0601ZGA0d       20090101000155100000005000 0000000030000019   
0601ZGA0d       20090101000160100000005000 0000000040000025   
0601ZGA0d       20090101000165100000005000 0000000050000030   
0601ZGA0d       20090101000170100000005000 0000000060000035   
0601ZGA0d       20090101000175100000005000 0000000070000039   
0601ZGA0d       20090101000180100000005000 0000000080000044   
0601ZGA0d       20090101000185100000005000 0000000090000048   
0601ZGA0d       20090101000190100000005000 0000000110000057   
0601ZGA0d       20090101000195100000005000 0000000120000061   
0601ZGA0d       20090101000200100000005000 0000000140000069   
0601ZGA0d       20090101000205100000005000 0000000160000077   
0601ZGA0d       20090101000210100000005000 0000000200000094   
0601ZGA0d       20090101000215100000005000 0000000220000101   
0601ZGA0d       20090101000220100000005000 0000000240000108   
0601ZGA0d       20090101000225100000005000 0000000260000114   
0601ZGA0d       20090101000230100000005000 0000000280000120   
0601ZGA0d       20090101000235100000005000 0000000310000131   
0601ZGA0d       20090101000240100000005000 0000000330000136   
0601ZGA0d       20090101000245100000005000 0000000360000145   
0601ZGA0d       20090101000250100000005000 0000000390000154   
0601ZGA0d       20090101000255100000005000 0000000410000159   
0601ZGA0d       20090101000260100000005000 0000000440000168   
0601ZGA0d       20090101000265100000005000 0000000460000172   
0601ZGA0d       20090101000270100000005000 0000000490000180   
0601ZGA0d       20090101000275100000005000 0000000510000184   
0601ZGA0d       20090101000280100000005000 0000000540000191   
